akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.423,46 M","2.479,31 M",102.30
" PAD","336,08 M","504,51 M",150.12
" Pajak Daerah","91,62 M","102,78 M",112.18
" Retribusi Daerah","24,42 M","22,27 M",91.18
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","6,62 M","6,91 M",104.39
" Lain-Lain PAD yang Sah","213,42 M","372,55 M",174.57
" TKDD","1.911,46 M","1.797,61 M",94.04
" Pendapatan Transfer Pemerintah Pusat","1.911,46 M","1.797,61 M",94.04
" Pendapatan Lainnya","175,92 M","177,19 M",100.72
" Pendapatan Hibah","0,94 M","0,00 M",0.00
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,22 M",0
" Pendapatan Transfer Antar Daerah","174,98 M","176,97 M",101.14
" Belanja Daerah","2.715,64 M","2.748,31 M",101.20
" Belanja Pegawai","1.057,36 M","1.250,42 M",118.26
" Belanja Pegawai","1.057,36 M","1.250,42 M",118.26
" Belanja Barang dan Jasa","667,91 M","564,08 M",84.46
" Belanja Barang dan Jasa","667,91 M","564,08 M",84.46
" Belanja Modal","298,87 M","293,11 M",98.07
" Belanja Modal","298,87 M","293,11 M",98.07
" Belanja Lainnya","691,51 M","640,70 M",92.65
" Belanja Bagi Hasil","11,37 M","11,37 M",100.00
" Belanja Bantuan Keuangan","513,20 M","482,57 M",94.03
" Belanja Subsidi","1,98 M","2,83 M",143.41
" Belanja Hibah","150,71 M","134,10 M",88.97
" Belanja Bantuan Sosial","7,22 M","7,76 M",107.44
" Belanja Tidak Terduga","7,03 M","2,08 M",29.63
" Pembiayaan Daerah","292,18 M","292,35 M",100.06
" Penerimaan Pembiayaan Daerah","292,18 M","292,35 M",100.06
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","292,18 M","292,18 M",100.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,17 M",0
" Pengeluaran Pembiayaan Daerah","0,00 M","0,00 M",0
" Penyertaan Modal Daerah","0,00 M","0,00 M",0
