akun,anggaran,realisasi,persentase
" Pendapatan Daerah,""2.327,96 M"",""2.345,09 M"",100.74"
" PAD,""257,74 M"",""261,45 M"",101.44"
" Pajak Daerah,""65,77 M"",""84,08 M"",127.85"
" Retribusi Daerah,""22,12 M"",""17,42 M"",78.76"
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,""7,16 M"",""6,62 M"",92.35"
" Lain-Lain PAD yang Sah,""162,69 M"",""153,33 M"",94.25"
" TKDD,""1.946,83 M"",""1.909,11 M"",98.06"
" Pendapatan Transfer Pemerintah Pusat,""1.946,83 M"",""1.909,11 M"",98.06"
" Pendapatan Lainnya,""123,39 M"",""174,54 M"",141.45"
" Pendapatan Hibah,""15,83 M"",""10,06 M"",63.53"
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,""0,00 M"",""0,01 M"",0"
" Pendapatan Transfer Antar Daerah,""107,56 M"",""164,47 M"",152.91"
" Belanja Daerah,""2.454,51 M"",""2.343,43 M"",95.47"
" Belanja Pegawai,""950,65 M"",""864,93 M"",90.98"
" Belanja Pegawai,""950,65 M"",""864,93 M"",90.98"
" Belanja Barang Jasa,""542,31 M"",""524,49 M"",96.72"
" Belanja Barang dan Jasa,""542,31 M"",""524,49 M"",96.72"
" Belanja Modal,""239,61 M"",""230,17 M"",96.06"
" Belanja Modal,""239,61 M"",""230,17 M"",96.06"
" Belanja Lainnya,""721,94 M"",""723,84 M"",100.26"
" Belanja Bagi Hasil,""8,79 M"",""8,79 M"",100.00"
" Belanja Bantuan Keuangan,""545,05 M"",""575,51 M"",105.59"
" Belanja Subsidi,""0,00 M"",""0,30 M"",0"
" Belanja Hibah,""109,35 M"",""108,79 M"",99.48"
" Belanja Bantuan Sosial,""14,62 M"",""14,15 M"",96.78"
" Belanja Tidak Terduga,""44,13 M"",""16,31 M"",36.96"
" Pembiayaan Daerah,""126,55 M"",""316,31 M"",249.95"
" Penerimaan Pembiayaan Daerah,""126,55 M"",""336,31 M"",265.75"
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,""126,15 M"",""335,70 M"",266.10"
" Penerimaan Kembali Pemberian Pinjaman Daerah,""0,40 M"",""0,62 M"",154.48"
" Pengeluaran Pembiayaan Daerah,""0,00 M"",""20,00 M"",0"
" Pembentukan Dana Cadangan,""0,00 M"",""20,00 M"",0"
