akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.277,20 M","2.220,22 M",97.50
" PAD","275,11 M","281,90 M",102.47
" Pajak Daerah","54,32 M","56,26 M",103.56
" Retribusi Daerah","13,67 M","12,08 M",88.33
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","4,42 M","2,88 M",65.11
" Lain-Lain PAD yang Sah","202,69 M","210,69 M",103.94
" TKDD","1.855,29 M","1.788,05 M",96.38
" Pendapatan Transfer Pemerintah Pusat","1.855,29 M","1.788,05 M",96.38
" Pendapatan Lainnya","146,81 M","150,27 M",102.36
" Pendapatan Hibah","0,00 M","0,88 M",0
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
" Pendapatan Transfer Antar Daerah","146,81 M","149,38 M",101.76
" Belanja Daerah","2.454,75 M","2.264,59 M",92.25
" Belanja Pegawai","922,84 M","903,83 M",97.94
" Belanja Pegawai","922,84 M","903,83 M",97.94
" Belanja Barang Jasa","557,36 M","511,08 M",91.70
" Belanja Barang dan Jasa","557,36 M","511,08 M",91.70
" Belanja Modal","315,59 M","220,72 M",69.94
" Belanja Modal","315,59 M","220,72 M",69.94
" Belanja Lainnya","658,97 M","628,96 M",95.45
" Belanja Bagi Hasil","6,81 M","6,72 M",98.74
" Belanja Bantuan Keuangan","444,88 M","428,90 M",96.41
" Belanja Hibah","173,04 M","160,68 M",92.86
" Belanja Bantuan Sosial","28,24 M","30,52 M",108.07
" Belanja Tidak Terduga","6,00 M","2,14 M",35.66
" Pembiayaan Daerah","177,56 M","171,80 M",96.76
" Penerimaan Pembiayaan Daerah","178,81 M","193,05 M",107.96
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","78,81 M","193,05 M",244.97
" Penerimaan Pinjaman Daerah","100,00 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","1,25 M","21,25 M","1,700.00"
" Pembentukan Dana Cadangan","0,00 M","20,00 M",0
" Penyertaan Modal Daerah","1,25 M","1,25 M",100.00
