akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.774,77 M","3.059,86 M",110.27
" PAD","454,11 M","649,63 M",143.05
" Pajak Daerah","204,40 M","249,54 M",122.09
" Retribusi Daerah","23,48 M","26,44 M",112.62
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","10,07 M","11,15 M",110.76
" Lain-Lain PAD yang Sah","216,17 M","362,49 M",167.69
" TKDD","2.163,54 M","2.143,95 M",99.09
" Pendapatan Transfer Pemerintah Pusat","2.163,54 M","2.143,95 M",99.09
" Pendapatan Lainnya","157,11 M","266,28 M",169.49
" Pendapatan Hibah","7,74 M","17,48 M",225.88
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","14,42 M",0
" Pendapatan Transfer Antar Daerah","149,37 M","234,37 M",156.91
" Belanja Daerah","3.189,86 M","3.154,10 M",98.88
" Belanja Pegawai","1.142,99 M","1.015,56 M",88.85
" Belanja Pegawai","1.142,99 M","1.015,56 M",88.85
" Belanja Barang Jasa","795,58 M","850,02 M",106.84
" Belanja Barang dan Jasa","795,58 M","850,02 M",106.84
" Belanja Modal","434,53 M","370,83 M",85.34
" Belanja Modal","434,53 M","370,83 M",85.34
" Belanja Lainnya","816,75 M","917,69 M",112.36
" Belanja Bagi Hasil","24,61 M","23,64 M",96.07
" Belanja Bantuan Keuangan","569,56 M","610,09 M",107.11
" Belanja Hibah","114,34 M","166,94 M",146.01
" Belanja Bantuan Sosial","62,37 M","113,96 M",182.70
" Belanja Tidak Terduga","45,87 M","3,06 M",6.68
" Pembiayaan Daerah","415,09 M","525,24 M",126.53
" Penerimaan Pembiayaan Daerah","433,88 M","559,02 M",128.84
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","433,88 M","559,02 M",128.84
" Pengeluaran Pembiayaan Daerah","18,78 M","33,78 M",179.86
" Pembentukan Dana Cadangan","15,00 M","30,00 M",200.00
" Penyertaan Modal Daerah","3,78 M","3,78 M",100.00
