akun,anggaran,realisasi,persentase
" Pendapatan Daerah","805,27 M","916,44 M",113.80
" PAD","219,14 M","224,37 M",102.39
" Pajak Daerah","52,96 M","66,25 M",125.11
" Retribusi Daerah","11,63 M","12,04 M",103.51
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","4,82 M","3,76 M",78.02
" Lain-Lain PAD yang Sah","149,74 M","142,32 M",95.05
" TKDD","522,36 M","595,70 M",114.04
" Pendapatan Transfer Pemerintah Pusat","522,36 M","595,70 M",114.04
" Pendapatan Lainnya","63,77 M","96,37 M",151.12
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","8,22 M",0
" Pendapatan Transfer Antar Daerah","63,77 M","88,15 M",138.23
" Belanja Daerah","1.096,78 M","1.064,22 M",97.03
" Belanja Pegawai","347,99 M","325,66 M",93.58
" Belanja Pegawai","347,99 M","325,66 M",93.58
" Belanja Barang Jasa","444,09 M","437,16 M",98.44
" Belanja Barang dan Jasa","444,09 M","437,16 M",98.44
" Belanja Modal","259,90 M","261,76 M",100.71
" Belanja Modal","259,90 M","261,76 M",100.71
" Belanja Lainnya","44,79 M","39,64 M",88.50
" Belanja Bunga","0,00 M","1,83 M",0
" Belanja Hibah","23,56 M","20,09 M",85.31
" Belanja Bantuan Sosial","13,10 M","15,11 M",115.34
" Belanja Tidak Terduga","8,13 M","2,61 M",32.05
" Pembiayaan Daerah","291,51 M","376,58 M",129.18
" Penerimaan Pembiayaan Daerah","297,99 M","376,58 M",126.37
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","196,16 M","274,76 M",140.07
" Penerimaan Pinjaman Daerah","101,78 M","101,78 M",100.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,05 M","0,03 M",63.99
" Pengeluaran Pembiayaan Daerah","6,49 M","0,00 M",0.00
" Penyertaan Modal Daerah","6,49 M","0,00 M",0.00
