akun,anggaran,realisasi,persentase
" Pendapatan Daerah","831,90 M","911,66 M",109.59
" PAD","131,62 M","154,69 M",117.52
" Pajak Daerah","46,01 M","46,65 M",101.39
" Retribusi Daerah","8,58 M","8,12 M",94.66
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","5,76 M","6,12 M",106.17
" Lain-Lain PAD yang Sah","71,28 M","93,81 M",131.61
" TKDD","618,84 M","644,11 M",104.08
" Pendapatan Transfer Pemerintah Pusat","618,84 M","644,11 M",104.08
" Pendapatan Lainnya","81,44 M","112,86 M",138.59
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","9,04 M",0
" Pendapatan Transfer Antar Daerah","81,44 M","103,82 M",127.48
" Belanja Daerah","1.056,74 M","939,27 M",88.88
" Belanja Pegawai","396,42 M","378,77 M",95.55
" Belanja Pegawai","396,42 M","378,77 M",95.55
" Belanja Barang Jasa","391,46 M","363,51 M",92.86
" Belanja Barang dan Jasa","391,46 M","363,51 M",92.86
" Belanja Modal","176,52 M","129,72 M",73.48
" Belanja Modal","176,52 M","129,72 M",73.48
" Belanja Lainnya","92,34 M","67,28 M",72.86
" Belanja Hibah","43,30 M","35,53 M",82.04
" Belanja Bantuan Sosial","34,00 M","26,79 M",78.80
" Belanja Tidak Terduga","15,04 M","4,96 M",32.99
" Pembiayaan Daerah","224,84 M","198,79 M",88.41
" Penerimaan Pembiayaan Daerah","224,84 M","200,98 M",89.39
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","224,84 M","200,98 M",89.39
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,00 M",0
" Pengeluaran Pembiayaan Daerah","0,00 M","2,19 M",0
" Pembentukan Dana Cadangan","0,00 M","2,19 M",0
