akun,anggaran,realisasi,persentase
" Pendapatan Daerah","945,77 M","955,09 M",100.99
" PAD","221,29 M","191,60 M",86.58
" Pajak Daerah","57,75 M","55,64 M",96.36
" Retribusi Daerah","16,81 M","13,00 M",77.31
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","1,47 M","1,35 M",92.01
" Lain-Lain PAD yang Sah","145,26 M","121,61 M",83.72
" TKDD","608,49 M","662,56 M",108.89
" Pendapatan Transfer Pemerintah Pusat","608,49 M","662,56 M",108.89
" Pendapatan Lainnya","115,99 M","100,93 M",87.01
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","30,31 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","85,68 M","100,93 M",117.80
" Belanja Daerah","1.112,77 M","1.080,13 M",97.07
" Belanja Pegawai","428,12 M","427,98 M",99.97
" Belanja Pegawai","428,12 M","427,98 M",99.97
" Belanja Barang Jasa","386,36 M","357,09 M",92.42
" Belanja Barang dan Jasa","386,36 M","357,09 M",92.42
" Belanja Modal","238,16 M","250,67 M",105.25
" Belanja Modal","238,16 M","250,67 M",105.25
" Belanja Lainnya","60,14 M","44,40 M",73.83
" Belanja Hibah","38,13 M","33,86 M",88.81
" Belanja Bantuan Sosial","2,01 M","1,39 M",69.39
" Belanja Tidak Terduga","20,00 M","9,14 M",45.71
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","167,00 M","309,38 M",185.25
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","127,00 M","269,38 M",212.11
" Pencairan Dana Cadangan","40,00 M","40,00 M",100.00
