akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.758,40 M","1.845,41 M",104.95
" PAD","204,14 M","238,17 M",116.67
" Pajak Daerah","59,21 M","66,51 M",112.34
" Retribusi Daerah","28,40 M","32,14 M",113.18
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","3,80 M","4,04 M",106.34
" Lain-Lain PAD yang Sah","112,74 M","135,48 M",120.17
" TKDD","1.450,83 M","1.440,42 M",99.28
" Pendapatan Transfer Pemerintah Pusat","1.450,83 M","1.440,42 M",99.28
" Pendapatan Lainnya","103,43 M","166,82 M",161.29
" Pendapatan Hibah","12,20 M","7,59 M",62.23
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","19,18 M","13,60 M",70.89
" Pendapatan Transfer Antar Daerah","72,04 M","145,62 M",202.14
" Belanja Daerah","1.840,28 M","1.971,23 M",107.12
" Belanja Pegawai","854,85 M","767,85 M",89.82
" Belanja Pegawai","854,85 M","767,85 M",89.82
" Belanja Barang Jasa","437,92 M","544,80 M",124.41
" Belanja Barang dan Jasa","437,92 M","544,80 M",124.41
" Belanja Modal","138,45 M","217,76 M",157.28
" Belanja Modal","138,45 M","217,76 M",157.28
" Belanja Lainnya","409,06 M","440,81 M",107.76
" Belanja Bagi Hasil","8,76 M","9,07 M",103.57
" Belanja Bantuan Keuangan","276,34 M","306,97 M",111.08
" Belanja Subsidi","0,04 M","0,07 M",185.00
" Belanja Hibah","52,27 M","106,97 M",204.64
" Belanja Bantuan Sosial","4,94 M","13,72 M",277.75
" Belanja Tidak Terduga","66,70 M","4,01 M",6.01
" Pembiayaan Daerah","81,89 M","347,16 M",423.95
" Penerimaan Pembiayaan Daerah","99,80 M","363,16 M",363.90
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","99,65 M","363,07 M",364.35
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,15 M","0,09 M",60.47
" Pengeluaran Pembiayaan Daerah","17,91 M","16,00 M",89.34
" Pembentukan Dana Cadangan","5,00 M","5,00 M",100.00
" Penyertaan Modal Daerah","11,00 M","11,00 M",100.00
" Pemberian Pinjaman Daerah","1,91 M","0,00 M",0.00
