akun,anggaran,realisasi,persentase
" Pendapatan Daerah","4.196,21 M","4.018,95 M",95.78
" PAD","978,03 M","763,12 M",78.03
" Pajak Daerah","414,49 M","402,32 M",97.06
" Retribusi Daerah","117,98 M","34,67 M",29.38
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","46,24 M","23,51 M",50.83
" Lain-Lain PAD yang Sah","399,31 M","302,62 M",75.79
" TKDD","2.635,18 M","2.600,58 M",98.69
" Pendapatan Transfer Pemerintah Pusat","2.635,18 M","2.600,58 M",98.69
" Pendapatan Lainnya","583,00 M","655,26 M",112.39
" Pendapatan Hibah","30,92 M","43,10 M",139.40
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","278,72 M","265,15 M",95.13
" Pendapatan Transfer Antar Daerah","273,36 M","347,01 M",126.94
" Belanja Daerah","4.525,33 M","4.330,51 M",95.69
" Belanja Pegawai","1.820,12 M","1.399,10 M",76.87
" Belanja Pegawai","1.820,12 M","1.399,10 M",76.87
" Belanja Barang Jasa","1.270,60 M","1.191,29 M",93.76
" Belanja Barang dan Jasa","1.270,60 M","1.191,29 M",93.76
" Belanja Modal","576,01 M","757,71 M",131.54
" Belanja Modal","576,01 M","757,71 M",131.54
" Belanja Lainnya","858,60 M","982,42 M",114.42
" Belanja Bagi Hasil","45,79 M","36,86 M",80.50
" Belanja Bantuan Keuangan","612,34 M","639,98 M",104.51
" Belanja Hibah","140,90 M","238,34 M",169.15
" Belanja Bantuan Sosial","46,57 M","63,40 M",136.13
" Belanja Tidak Terduga","13,00 M","3,84 M",29.53
" Pembiayaan Daerah","329,12 M","527,69 M",160.33
" Penerimaan Pembiayaan Daerah","347,65 M","541,92 M",155.88
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","343,35 M","541,92 M",157.83
" Penerimaan Pinjaman Daerah","4,30 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","18,54 M","14,24 M",76.80
" Penyertaan Modal Daerah","13,50 M","13,50 M",100.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","5,04 M","0,74 M",14.60
