akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.350,99 M","2.537,24 M",107.92
" PAD","558,65 M","676,71 M",121.13
" Pajak Daerah","332,55 M","369,86 M",111.22
" Retribusi Daerah","42,73 M","24,46 M",57.24
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","4,79 M","9,04 M",188.89
" Lain-Lain PAD yang Sah","178,59 M","273,35 M",153.06
" TKDD","1.570,44 M","1.566,63 M",99.76
" Pendapatan Transfer Pemerintah Pusat","1.570,44 M","1.566,63 M",99.76
" Pendapatan Lainnya","221,90 M","293,90 M",132.45
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","98,99 M","80,78 M",81.61
" Pendapatan Transfer Antar Daerah","122,91 M","213,11 M",173.39
" Belanja Daerah","2.449,76 M","2.620,85 M",106.98
" Belanja Pegawai","1.007,35 M","954,87 M",94.79
" Belanja Pegawai","1.007,35 M","954,87 M",94.79
" Belanja Barang Jasa","610,91 M","678,11 M",111.00
" Belanja Barang dan Jasa","610,91 M","678,11 M",111.00
" Belanja Modal","221,96 M","341,13 M",153.69
" Belanja Modal","221,96 M","341,13 M",153.69
" Belanja Lainnya","609,54 M","646,74 M",106.10
" Belanja Bagi Hasil","36,69 M","40,28 M",109.79
" Belanja Bantuan Keuangan","452,56 M","525,82 M",116.19
" Belanja Hibah","82,05 M","56,88 M",69.32
" Belanja Bantuan Sosial","0,89 M","19,19 M","2,159.63"
" Belanja Tidak Terduga","37,35 M","4,57 M",12.23
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","98,77 M","509,85 M",516.19
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","98,77 M","509,85 M",516.19
