akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.819,41 M","1.880,80 M",103.37
" PAD","173,64 M","184,05 M",106.00
" Pajak Daerah","30,07 M","36,33 M",120.82
" Retribusi Daerah","47,24 M","30,03 M",63.57
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","6,89 M","5,77 M",83.78
" Lain-Lain PAD yang Sah","89,43 M","111,92 M",125.14
" TKDD","1.514,73 M","1.505,24 M",99.37
" Pendapatan Transfer Pemerintah Pusat","1.514,73 M","1.505,24 M",99.37
" Pendapatan Lainnya","131,04 M","191,50 M",146.14
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","46,00 M","50,88 M",110.61
" Pendapatan Transfer Antar Daerah","85,04 M","140,62 M",165.36
" Belanja Daerah","2.071,54 M","2.119,51 M",102.32
" Belanja Pegawai","786,01 M","711,72 M",90.55
" Belanja Pegawai","786,01 M","711,72 M",90.55
" Belanja Barang Jasa","433,70 M","418,01 M",96.38
" Belanja Barang dan Jasa","433,70 M","418,01 M",96.38
" Belanja Modal","431,17 M","525,27 M",121.82
" Belanja Modal","431,17 M","525,27 M",121.82
" Belanja Lainnya","420,66 M","464,51 M",110.42
" Belanja Bagi Hasil","4,33 M","4,29 M",99.13
" Belanja Bantuan Keuangan","315,33 M","315,33 M",100.00
" Belanja Bunga","8,82 M","7,67 M",86.94
" Belanja Hibah","78,60 M","115,66 M",147.14
" Belanja Bantuan Sosial","4,08 M","4,36 M",107.01
" Belanja Tidak Terduga","9,49 M","17,19 M",181.14
" Pembiayaan Daerah","252,13 M","387,77 M",153.79
" Penerimaan Pembiayaan Daerah","268,03 M","397,77 M",148.41
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","114,15 M","248,64 M",217.82
" Penerimaan Pinjaman Daerah","153,38 M","148,63 M",96.91
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,50 M","0,50 M",100.00
" Pengeluaran Pembiayaan Daerah","15,89 M","10,00 M",62.93
" Pembentukan Dana Cadangan","10,00 M","10,00 M",100.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","5,89 M","0,00 M",0.00
