akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.727,32 M","1.723,94 M",99.80
" PAD","228,58 M","253,35 M",110.84
" Pajak Daerah","51,93 M","57,65 M",111.00
" Retribusi Daerah","15,91 M","13,16 M",82.75
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","3,89 M","4,86 M",124.84
" Lain-Lain PAD yang Sah","156,84 M","177,68 M",113.29
" TKDD","1.352,34 M","1.342,60 M",99.28
" Pendapatan Transfer Pemerintah Pusat","1.352,34 M","1.342,60 M",99.28
" Pendapatan Lainnya","146,40 M","127,99 M",87.42
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","1,36 M","0,88 M",64.50
" Pendapatan Transfer Antar Daerah","145,05 M","127,11 M",87.63
" Belanja Daerah","2.082,99 M","1.778,99 M",85.41
" Belanja Pegawai","744,57 M","662,11 M",88.92
" Belanja Pegawai","744,57 M","662,11 M",88.92
" Belanja Barang Jasa","522,05 M","528,95 M",101.32
" Belanja Barang dan Jasa","522,05 M","528,95 M",101.32
" Belanja Modal","487,12 M","266,00 M",54.61
" Belanja Modal","487,12 M","266,00 M",54.61
" Belanja Lainnya","329,25 M","321,93 M",97.78
" Belanja Bagi Hasil","6,04 M","5,45 M",90.12
" Belanja Bantuan Keuangan","223,81 M","224,09 M",100.13
" Belanja Bunga","13,00 M","3,04 M",23.37
" Belanja Hibah","51,93 M","69,39 M",133.62
" Belanja Bantuan Sosial","12,43 M","19,78 M",159.11
" Belanja Tidak Terduga","22,04 M","0,18 M",0.83
" Pembiayaan Daerah","355,67 M","311,93 M",87.70
" Penerimaan Pembiayaan Daerah","371,25 M","374,25 M",100.81
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","184,28 M","374,25 M",203.08
" Penerimaan Pinjaman Daerah","186,97 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,00 M",0
" Pengeluaran Pembiayaan Daerah","15,58 M","62,32 M",400.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","15,58 M","62,32 M",400.00
