akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.235,46 M","1.778,64 M",79.56
" PAD","297,18 M","260,53 M",87.67
" Pajak Daerah","61,33 M","44,41 M",72.41
" Retribusi Daerah","15,42 M","9,92 M",64.35
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","3,38 M","2,70 M",79.89
" Lain-Lain PAD yang Sah","217,05 M","203,49 M",93.76
" TKDD","1.783,15 M","1.405,06 M",78.80
" Pendapatan Transfer Pemerintah Pusat","1.783,15 M","1.405,06 M",78.80
" Pendapatan Lainnya","155,12 M","113,04 M",72.87
" Pendapatan Transfer Antar Daerah","155,12 M","113,04 M",72.87
" Belanja Daerah","2.327,64 M","1.511,64 M",64.94
" Belanja Pegawai","938,40 M","642,07 M",68.42
" Belanja Pegawai","938,40 M","642,07 M",68.42
" Belanja Barang dan Jasa","538,08 M","355,01 M",65.98
" Belanja Barang dan Jasa","538,08 M","355,01 M",65.98
" Belanja Modal","230,95 M","112,37 M",48.66
" Belanja Modal","230,95 M","112,37 M",48.66
" Belanja Lainnya","620,21 M","402,19 M",64.85
" Belanja Bagi Hasil","7,68 M","0,00 M",0.00
" Belanja Bantuan Keuangan","448,12 M","324,23 M",72.35
" Belanja Hibah","153,90 M","76,44 M",49.67
" Belanja Bantuan Sosial","4,51 M","1,52 M",33.63
" Belanja Tidak Terduga","6,00 M","0,00 M",0.00
" Pembiayaan Daerah","92,18 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","132,18 M","127,42 M",96.40
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","81,78 M","127,42 M",155.82
" Pencairan Dana Cadangan","0,00 M","0,00 M",0
" Penerimaan Pinjaman Daerah","50,41 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","40,00 M","0,00 M",0.00
" Pembentukan Dana Cadangan","40,00 M","0,00 M",0.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","0,00 M","0,00 M",0
