akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.959,48 M","1.361,59 M",69.49
" PAD","219,83 M","145,89 M",66.36
" Pajak Daerah","48,13 M","29,74 M",61.78
" Retribusi Daerah","26,17 M","14,49 M",55.36
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","5,00 M","4,63 M",92.60
" Lain-Lain PAD yang Sah","140,53 M","97,03 M",69.05
" TKDD","1.582,89 M","1.088,11 M",68.74
" Pendapatan Transfer Pemerintah Pusat","1.582,89 M","1.088,11 M",68.74
" Pendapatan Lainnya","156,75 M","127,59 M",81.40
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","35,68 M","26,30 M",73.70
" Pendapatan Transfer Antar Daerah","121,07 M","101,30 M",83.67
" Belanja Daerah","2.053,34 M","1.213,08 M",59.08
" Belanja Pegawai","861,26 M","574,33 M",66.69
" Belanja Pegawai","861,26 M","574,33 M",66.69
" Belanja Barang dan Jasa","565,19 M","295,46 M",52.28
" Belanja Barang dan Jasa","565,19 M","295,46 M",52.28
" Belanja Modal","170,88 M","53,05 M",31.05
" Belanja Modal","170,88 M","53,05 M",31.05
" Belanja Lainnya","456,01 M","290,24 M",63.65
" Belanja Bagi Hasil","7,43 M","0,00 M",0.00
" Belanja Bantuan Keuangan","316,23 M","235,72 M",74.54
" Belanja Subsidi","1,00 M","1,00 M",100.00
" Belanja Hibah","123,93 M","51,17 M",41.29
" Belanja Bantuan Sosial","2,50 M","1,76 M",70.28
" Belanja Tidak Terduga","4,91 M","0,59 M",11.91
" Pembiayaan Daerah","93,86 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","108,86 M","220,30 M",202.37
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","108,86 M","220,30 M",202.37
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,03 M",0
" Pengeluaran Pembiayaan Daerah","15,00 M","0,00 M",0.00
" Pembentukan Dana Cadangan","15,00 M","0,00 M",0.00
" Penerimaan Pembiayaan Lainnya","0,00 M","0,03 M",0
