akun,anggaran,realisasi,persentase
" Pendapatan Daerah","907,33 M","665,93 M",73.39
" PAD","183,89 M","120,32 M",65.43
" Pajak Daerah","45,15 M","42,01 M",93.05
" Retribusi Daerah","10,39 M","5,30 M",51.05
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","1,47 M","1,04 M",70.94
" Lain-Lain PAD yang Sah","126,88 M","71,96 M",56.72
" TKDD","619,66 M","470,18 M",75.88
" Pendapatan Transfer Pemerintah Pusat","619,66 M","470,18 M",75.88
" Pendapatan Lainnya","103,78 M","75,43 M",72.68
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","8,24 M","6,70 M",81.36
" Pendapatan Transfer Antar Daerah","95,54 M","68,73 M",71.94
" Belanja Daerah","1.020,98 M","576,87 M",56.50
" Belanja Pegawai","330,57 M","229,09 M",69.30
" Belanja Pegawai","330,57 M","229,09 M",69.30
" Belanja Barang dan Jasa","483,52 M","272,90 M",56.44
" Belanja Barang dan Jasa","483,52 M","272,90 M",56.44
" Belanja Modal","159,26 M","42,48 M",26.67
" Belanja Modal","159,26 M","42,48 M",26.67
" Belanja Lainnya","47,64 M","32,40 M",68.01
" Belanja Hibah","21,86 M","15,44 M",70.63
" Belanja Bantuan Sosial","21,78 M","15,29 M",70.21
" Belanja Tidak Terduga","4,00 M","1,67 M",41.74
" Pembiayaan Daerah","113,64 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","138,64 M","119,06 M",85.87
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","138,64 M","119,06 M",85.87
" Pencairan Dana Cadangan","0,00 M","0,00 M",0
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,07 M",0
" Pengeluaran Pembiayaan Daerah","25,00 M","0,00 M",0.00
" Pembentukan Dana Cadangan","25,00 M","25,00 M",100.00
" Penerimaan Pembiayaan Lainnya","0,00 M","0,07 M",0
" Pengeluaran Pembiayaan Lainnya","0,00 M","25,00 M",0
