akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.378,90 M","1.088,71 M",78.95
" PAD","315,67 M","249,20 M",78.94
" Pajak Daerah","124,31 M","105,72 M",85.04
" Retribusi Daerah","28,34 M","10,89 M",38.43
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","1,98 M","2,05 M",103.14
" Lain-Lain PAD yang Sah","161,04 M","130,55 M",81.07
" TKDD","958,73 M","747,34 M",77.95
" Pendapatan Transfer Pemerintah Pusat","958,73 M","747,34 M",77.95
" Pendapatan Lainnya","104,50 M","92,17 M",88.20
" Pendapatan Transfer Antar Daerah","104,50 M","92,17 M",88.20
" Belanja Daerah","1.744,54 M","891,79 M",51.12
" Belanja Pegawai","670,15 M","389,33 M",58.10
" Belanja Pegawai","670,15 M","389,33 M",58.10
" Belanja Barang dan Jasa","678,15 M","382,66 M",56.43
" Belanja Barang dan Jasa","678,15 M","382,66 M",56.43
" Belanja Modal","283,39 M","44,47 M",15.69
" Belanja Modal","283,39 M","44,47 M",15.69
" Belanja Lainnya","112,85 M","75,33 M",66.75
" Belanja Bantuan Keuangan","0,62 M","0,33 M",53.86
" Belanja Hibah","89,70 M","64,58 M",72.00
" Belanja Bantuan Sosial","10,53 M","5,76 M",54.70
" Belanja Tidak Terduga","12,00 M","4,65 M",38.77
" Pembiayaan Daerah","365,64 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","390,64 M","478,10 M",122.39
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","390,64 M","478,10 M",122.39
" Pencairan Dana Cadangan","0,00 M","0,00 M",0
" Pengeluaran Pembiayaan Daerah","25,00 M","0,00 M",0.00
" Pembentukan Dana Cadangan","25,00 M","25,00 M",100.00
" Pengeluaran Pembiayaan Lainnya","0,00 M","25,00 M",0
