akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.988,91 M","1.530,40 M",76.95
" PAD","280,30 M","217,92 M",77.75
" Pajak Daerah","87,34 M","58,00 M",66.40
" Retribusi Daerah","14,20 M","7,50 M",52.78
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","8,34 M","7,32 M",87.71
" Lain-Lain PAD yang Sah","170,41 M","145,11 M",85.15
" TKDD","1.567,28 M","1.202,13 M",76.70
" Pendapatan Transfer Pemerintah Pusat","1.567,28 M","1.202,13 M",76.70
" Pendapatan Lainnya","141,33 M","110,35 M",78.08
" Pendapatan Hibah","6,08 M","0,03 M",0.43
" Pendapatan Transfer Antar Daerah","135,25 M","110,32 M",81.57
" Belanja Daerah","2.085,71 M","1.331,28 M",63.83
" Belanja Pegawai","760,83 M","507,81 M",66.74
" Belanja Pegawai","760,83 M","507,81 M",66.74
" Belanja Barang dan Jasa","524,46 M","313,43 M",59.76
" Belanja Barang dan Jasa","524,46 M","313,43 M",59.76
" Belanja Modal","288,71 M","118,17 M",40.93
" Belanja Modal","288,71 M","118,17 M",40.93
" Belanja Lainnya","511,71 M","391,88 M",76.58
" Belanja Bagi Hasil","8,66 M","0,00 M",0.00
" Belanja Bantuan Keuangan","389,75 M","339,26 M",87.04
" Belanja Subsidi","0,46 M","0,14 M",31.37
" Belanja Hibah","82,86 M","46,40 M",56.00
" Belanja Bantuan Sosial","4,98 M","5,23 M",105.00
" Belanja Tidak Terduga","25,00 M","0,84 M",3.36
" Pembiayaan Daerah","96,80 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","118,55 M","219,34 M",185.02
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","118,55 M","219,34 M",185.02
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,04 M",0
" Pengeluaran Pembiayaan Daerah","21,75 M","0,00 M",0.00
" Pembentukan Dana Cadangan","10,00 M","10,00 M",100.00
" Penyertaan Modal Daerah","11,75 M","7,00 M",59.57
" Penerimaan Pembiayaan Lainnya","0,00 M","0,04 M",0
" Penyertaan Modal","0,00 M","7,00 M",0
" Pengeluaran Pembiayaan Lainnya","0,00 M","10,00 M",0
