akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.062,66 M","2.237,07 M",73.04
" PAD","614,22 M","488,06 M",79.46
" Pajak Daerah","344,15 M","264,96 M",76.99
" Retribusi Daerah","22,78 M","20,83 M",91.41
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","19,28 M","11,54 M",59.86
" Lain-Lain PAD yang Sah","228,00 M","190,74 M",83.66
" TKDD","2.295,51 M","1.596,68 M",69.56
" Pendapatan Transfer Pemerintah Pusat","2.295,51 M","1.596,68 M",69.56
" Pendapatan Lainnya","152,93 M","152,33 M",99.61
" Pendapatan Hibah","0,78 M","0,16 M",20.42
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
" Pendapatan Transfer Antar Daerah","152,15 M","152,17 M",100.01
" Belanja Daerah","3.200,99 M","1.826,34 M",57.06
" Belanja Pegawai","1.200,12 M","727,06 M",60.58
" Belanja Pegawai","1.200,12 M","727,06 M",60.58
" Belanja Barang dan Jasa","645,34 M","358,52 M",55.55
" Belanja Barang dan Jasa","645,34 M","358,52 M",55.55
" Belanja Modal","774,08 M","336,15 M",43.43
" Belanja Modal","774,08 M","336,15 M",43.43
" Belanja Lainnya","581,44 M","404,62 M",69.59
" Belanja Bagi Hasil","36,85 M","11,89 M",32.26
" Belanja Bantuan Keuangan","439,10 M","354,63 M",80.76
" Belanja Hibah","87,32 M","35,69 M",40.88
" Belanja Bantuan Sosial","8,07 M","2,21 M",27.36
" Belanja Tidak Terduga","10,11 M","0,20 M",1.99
" Pembiayaan Daerah","138,33 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","208,33 M","1.347,13 M",646.65
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","208,27 M","1.347,13 M",646.82
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,06 M","0,01 M",19.48
" Pengeluaran Pembiayaan Daerah","70,00 M","0,00 M",0.00
" Pembentukan Dana Cadangan","70,00 M","0,00 M",0.00
" Penerimaan Pembiayaan Lainnya","0,00 M","0,01 M",0
