akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.239,71 M","2.331,38 M",71.96
" PAD","605,00 M","400,68 M",66.23
" Pajak Daerah","264,76 M","202,59 M",76.52
" Retribusi Daerah","279,41 M","165,61 M",59.27
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","24,95 M","23,77 M",95.29
" Lain-Lain PAD yang Sah","35,88 M","8,70 M",24.25
" TKDD","2.373,36 M","1.755,21 M",73.95
" Pendapatan Transfer Pemerintah Pusat","2.373,36 M","1.755,21 M",73.95
" Pendapatan Lainnya","261,35 M","175,49 M",67.15
" Pendapatan Hibah","0,10 M","2,85 M","2,849.52"
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","51,25 M","31,28 M",61.03
" Pendapatan Transfer Antar Daerah","210,00 M","141,36 M",67.32
" Belanja Daerah","3.429,71 M","2.096,88 M",61.14
" Belanja Pegawai","1.185,79 M","790,78 M",66.69
" Belanja Pegawai","1.185,79 M","790,78 M",66.69
" Belanja Barang dan Jasa","1.004,65 M","620,55 M",61.77
" Belanja Barang dan Jasa","1.004,65 M","620,55 M",61.77
" Belanja Modal","565,58 M","248,61 M",43.96
" Belanja Modal","565,58 M","248,61 M",43.96
" Belanja Lainnya","673,69 M","436,93 M",64.86
" Belanja Bagi Hasil","20,19 M","1,51 M",7.46
" Belanja Bantuan Keuangan","397,08 M","302,23 M",76.11
" Belanja Hibah","221,21 M","130,85 M",59.15
" Belanja Bantuan Sosial","15,21 M","2,09 M",13.71
" Belanja Tidak Terduga","20,00 M","0,26 M",1.31
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","190,00 M","37,27 M",19.61
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","25,00 M","37,27 M",149.06
" Penerimaan Pinjaman Daerah","165,00 M","0,00 M",0.00
