akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.034,32 M","580,62 M",56.13
" PAD","281,26 M","160,11 M",56.93
" Pajak Daerah","240,65 M","147,54 M",61.31
" Retribusi Daerah","30,04 M","5,12 M",17.04
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","3,53 M","2,08 M",58.92
" Lain-Lain PAD yang Sah","7,04 M","5,37 M",76.28
" TKDD","681,09 M","371,25 M",54.51
" Pendapatan Transfer Pemerintah Pusat","681,09 M","371,25 M",54.51
" Pendapatan Lainnya","71,97 M","49,25 M",68.44
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","9,22 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","62,75 M","49,25 M",78.49
" Belanja Daerah","1.231,96 M","505,39 M",41.02
" Belanja Pegawai","422,37 M","259,44 M",61.43
" Belanja Pegawai","422,37 M","259,44 M",61.43
" Belanja Barang dan Jasa","437,76 M","150,28 M",34.33
" Belanja Barang dan Jasa","437,76 M","150,28 M",34.33
" Belanja Modal","133,73 M","6,93 M",5.18
" Belanja Modal","133,73 M","6,93 M",5.18
" Belanja Lainnya","238,09 M","88,74 M",37.27
" Belanja Bagi Hasil","27,07 M","3,81 M",14.08
" Belanja Bantuan Keuangan","74,93 M","42,09 M",56.17
" Belanja Subsidi","0,06 M","0,00 M",0.00
" Belanja Hibah","93,17 M","39,89 M",42.81
" Belanja Bantuan Sosial","19,40 M","2,95 M",15.19
" Belanja Tidak Terduga","23,46 M","0,00 M",0.00
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","197,63 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","197,63 M","0,00 M",0.00
