akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.683,21 M","2.664,31 M",99.30
" PAD","459,53 M","452,68 M",98.51
" Pajak Daerah","135,02 M","137,35 M",101.72
" Retribusi Daerah","307,83 M","296,75 M",96.40
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","2,54 M","2,54 M",100.00
" Lain-Lain PAD yang Sah","14,14 M","16,05 M",113.51
" TKDD","1.987,06 M","1.966,98 M",98.99
" Pendapatan Transfer Pemerintah Pusat","1.987,06 M","1.966,98 M",98.99
" Pendapatan Lainnya","236,63 M","244,65 M",103.39
" Pendapatan Transfer Antar Daerah","236,63 M","244,65 M",103.39
" Belanja Daerah","2.876,86 M","2.748,89 M",95.55
" Belanja Pegawai","1.025,64 M","1.002,36 M",97.73
" Belanja Pegawai","1.025,64 M","1.002,36 M",97.73
" Belanja Barang dan Jasa","857,13 M","784,52 M",91.53
" Belanja Barang dan Jasa","857,13 M","784,52 M",91.53
" Belanja Modal","438,80 M","411,26 M",93.72
" Belanja Modal","438,80 M","411,26 M",93.72
" Belanja Lainnya","555,29 M","550,76 M",99.18
" Belanja Bagi Hasil","11,87 M","9,70 M",81.71
" Belanja Bantuan Keuangan","382,09 M","382,08 M",100.00
" Belanja Hibah","123,38 M","122,98 M",99.67
" Belanja Bantuan Sosial","32,02 M","30,95 M",96.68
" Belanja Tidak Terduga","5,93 M","5,04 M",85.01
" Pembiayaan Daerah","193,65 M","193,65 M",100.00
" Penerimaan Pembiayaan Daerah","196,05 M","196,05 M",100.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","196,05 M","196,05 M",100.00
" Pengeluaran Pembiayaan Daerah","2,40 M","2,40 M",100.00
" Penyertaan Modal Daerah","2,40 M","2,40 M",100.00
