akun,anggaran,realisasi,persentase
" Pendapatan Daerah","5.509,68 M","6.394,36 M",116.06
" PAD","904,00 M","1.097,70 M",121.43
" Pajak Daerah","157,63 M","199,58 M",126.61
" Retribusi Daerah","51,41 M","44,83 M",87.21
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","156,87 M","157,32 M",100.29
" Lain-Lain PAD yang Sah","538,08 M","695,96 M",129.34
" TKDD","4.325,01 M","5.012,08 M",115.89
" Pendapatan Transfer Pemerintah Pusat","4.325,01 M","5.012,08 M",115.89
" Pendapatan Lainnya","280,67 M","284,58 M",101.39
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","79,81 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","200,86 M","284,58 M",141.68
" Belanja Daerah","8.206,22 M","7.295,25 M",88.90
" Belanja Pegawai","1.771,08 M","1.508,59 M",85.18
" Belanja Pegawai","1.771,08 M","1.508,59 M",85.18
" Belanja Barang dan Jasa","1.715,48 M","1.638,99 M",95.54
" Belanja Barang dan Jasa","1.715,48 M","1.638,99 M",95.54
" Belanja Modal","2.270,55 M","2.238,86 M",98.60
" Belanja Modal","2.270,55 M","2.238,86 M",98.60
" Belanja Lainnya","2.449,11 M","1.908,79 M",77.94
" Belanja Bagi Hasil","26,13 M","25,96 M",99.36
" Belanja Bantuan Keuangan","1.513,64 M","1.054,02 M",69.63
" Belanja Subsidi","2,00 M","0,54 M",26.75
" Belanja Hibah","683,08 M","630,66 M",92.33
" Belanja Bantuan Sosial","180,74 M","163,38 M",90.39
" Belanja Tidak Terduga","43,52 M","34,24 M",78.68
" Pembiayaan Daerah","2.696,54 M","2.867,05 M",106.32
" Penerimaan Pembiayaan Daerah","2.887,05 M","2.887,05 M",100.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","2.887,05 M","2.887,05 M",100.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,00 M",0
" Pengeluaran Pembiayaan Daerah","190,51 M","20,00 M",10.50
" Pembentukan Dana Cadangan","155,00 M","0,00 M",0.00
" Penyertaan Modal Daerah","35,51 M","20,00 M",56.32
