akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.915,51 M","2.523,37 M",64.45
" PAD","1.594,37 M","852,40 M",53.46
" Pajak Daerah","1.033,70 M","556,92 M",53.88
" Retribusi Daerah","235,34 M","82,80 M",35.18
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","12,65 M","11,98 M",94.76
" Lain-Lain PAD yang Sah","312,69 M","200,70 M",64.19
" TKDD","1.965,67 M","1.511,79 M",76.91
" Pendapatan Transfer Pemerintah Pusat","1.965,67 M","1.511,79 M",76.91
" Pendapatan Lainnya","355,47 M","159,17 M",44.78
" Pendapatan Transfer Antar Daerah","355,47 M","159,17 M",44.78
" Belanja Daerah","3.887,41 M","2.279,56 M",58.64
" Belanja Pegawai","1.128,72 M","782,81 M",69.35
" Belanja Pegawai","1.128,72 M","782,81 M",69.35
" Belanja Barang dan Jasa","1.069,26 M","576,63 M",53.93
" Belanja Barang dan Jasa","1.069,26 M","576,63 M",53.93
" Belanja Modal","380,39 M","223,27 M",58.69
" Belanja Modal","380,39 M","223,27 M",58.69
" Belanja Lainnya","1.309,03 M","696,86 M",53.24
" Belanja Bagi Hasil","126,90 M","12,64 M",9.96
" Belanja Bantuan Keuangan","755,74 M","480,30 M",63.55
" Belanja Bunga","0,00 M","0,84 M",0
" Belanja Hibah","392,75 M","185,62 M",47.26
" Belanja Bantuan Sosial","23,64 M","15,43 M",65.28
" Belanja Tidak Terduga","10,00 M","2,03 M",20.26
" Pembiayaan Daerah","-28,10 M","62,74 M",-223.27
" Penerimaan Pembiayaan Daerah","0,00 M","76,37 M",0
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","0,00 M","76,37 M",0
" Pengeluaran Pembiayaan Daerah","28,10 M","13,63 M",48.52
" Penyertaan Modal Daerah","8,10 M","0,30 M",3.70
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","20,00 M","13,33 M",66.67
