akun,anggaran,realisasi,persentase
" Pendapatan Daerah","4.211,89 M","4.127,44 M",97.99
" PAD","928,68 M","774,16 M",83.36
" Pajak Daerah","345,55 M","301,95 M",87.38
" Retribusi Daerah","49,86 M","19,50 M",39.10
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","7,44 M","7,58 M",101.95
" Lain-Lain PAD yang Sah","525,83 M","445,13 M",84.65
" TKDD","3.014,73 M","3.047,89 M",101.10
" Pendapatan Transfer Pemerintah Pusat","3.014,73 M","3.047,89 M",101.10
" Pendapatan Lainnya","268,49 M","305,39 M",113.74
" Pendapatan Transfer Antar Daerah","268,49 M","305,39 M",113.74
" Belanja Daerah","4.366,08 M","3.929,06 M",89.99
" Belanja Pegawai","1.597,17 M","1.423,54 M",89.13
" Belanja Pegawai","1.597,17 M","1.423,54 M",89.13
" Belanja Barang dan Jasa","1.480,46 M","1.374,88 M",92.87
" Belanja Barang dan Jasa","1.480,46 M","1.374,88 M",92.87
" Belanja Modal","379,71 M","271,38 M",71.47
" Belanja Modal","379,71 M","271,38 M",71.47
" Belanja Lainnya","908,74 M","859,26 M",94.55
" Belanja Bagi Hasil","22,99 M","22,88 M",99.50
" Belanja Bantuan Keuangan","505,88 M","511,35 M",101.08
" Belanja Hibah","331,74 M","306,79 M",92.48
" Belanja Bantuan Sosial","23,14 M","16,97 M",73.35
" Belanja Tidak Terduga","25,00 M","1,26 M",5.05
" Pembiayaan Daerah","154,19 M","261,62 M",169.67
" Penerimaan Pembiayaan Daerah","169,19 M","276,62 M",163.50
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","169,19 M","276,60 M",163.48
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,02 M",0
" Pengeluaran Pembiayaan Daerah","15,00 M","15,00 M",100.00
" Penyertaan Modal Daerah","15,00 M","15,00 M",100.00
