akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.841,19 M","2.990,22 M",105.25
" PAD","584,98 M","634,65 M",108.49
" Pajak Daerah","194,08 M","207,43 M",106.88
" Retribusi Daerah","17,73 M","21,04 M",118.67
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","7,38 M","7,28 M",98.63
" Lain-Lain PAD yang Sah","365,78 M","398,89 M",109.05
" TKDD","2.033,46 M","2.108,83 M",103.71
" Pendapatan Transfer Pemerintah Pusat","2.033,46 M","2.108,83 M",103.71
" Pendapatan Lainnya","222,75 M","246,75 M",110.77
" Pendapatan Transfer Antar Daerah","222,75 M","246,75 M",110.77
" Belanja Daerah","3.274,56 M","3.122,14 M",95.35
" Belanja Pegawai","1.141,90 M","1.040,85 M",91.15
" Belanja Pegawai","1.141,90 M","1.040,85 M",91.15
" Belanja Barang dan Jasa","1.038,65 M","1.040,54 M",100.18
" Belanja Barang dan Jasa","1.038,65 M","1.040,54 M",100.18
" Belanja Modal","317,68 M","263,07 M",82.81
" Belanja Modal","317,68 M","263,07 M",82.81
" Belanja Lainnya","776,34 M","777,68 M",100.17
" Belanja Bagi Hasil","22,77 M","22,77 M",100.00
" Belanja Bantuan Keuangan","506,55 M","514,88 M",101.64
" Belanja Hibah","233,76 M","231,26 M",98.93
" Belanja Bantuan Sosial","7,37 M","6,42 M",87.15
" Belanja Tidak Terduga","5,89 M","2,35 M",39.90
" Pembiayaan Daerah","433,37 M","433,37 M",100.00
" Penerimaan Pembiayaan Daerah","453,37 M","433,37 M",95.59
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","373,37 M","373,37 M",100.00
" Pencairan Dana Cadangan","60,00 M","60,00 M",100.00
" Penerimaan Pinjaman Daerah","20,00 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","20,00 M","0,00 M",0.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","20,00 M","0,00 M",0.00
