akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.105,05 M","1.037,13 M",93.85
" PAD","281,26 M","252,16 M",89.65
" Pajak Daerah","240,65 M","231,49 M",96.19
" Retribusi Daerah","28,48 M","9,73 M",34.15
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","3,66 M","3,66 M",100.00
" Lain-Lain PAD yang Sah","8,47 M","7,28 M",86.01
" TKDD","707,74 M","673,61 M",95.18
" Pendapatan Transfer Pemerintah Pusat","707,74 M","673,61 M",95.18
" Pendapatan Lainnya","116,05 M","111,35 M",95.95
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","8,29 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","107,76 M","111,35 M",103.34
" Belanja Daerah","1.295,57 M","1.029,55 M",79.47
" Belanja Pegawai","439,96 M","387,96 M",88.18
" Belanja Pegawai","439,96 M","387,96 M",88.18
" Belanja Barang dan Jasa","488,82 M","374,08 M",76.53
" Belanja Barang dan Jasa","488,82 M","374,08 M",76.53
" Belanja Modal","121,50 M","75,19 M",61.88
" Belanja Modal","121,50 M","75,19 M",61.88
" Belanja Lainnya","245,30 M","192,32 M",78.40
" Belanja Bagi Hasil","26,91 M","23,66 M",87.93
" Belanja Bantuan Keuangan","78,82 M","74,69 M",94.75
" Belanja Subsidi","0,00 M","0,00 M",0
" Belanja Hibah","93,31 M","78,58 M",84.22
" Belanja Bantuan Sosial","11,07 M","8,18 M",73.86
" Belanja Tidak Terduga","35,18 M","7,21 M",20.48
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","190,52 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","190,52 M","0,00 M",0.00
