akun,anggaran,realisasi,persentase
" Pendapatan Daerah","911,13 M","817,82 M",89.76
" PAD","187,43 M","147,88 M",78.90
" Pajak Daerah","48,01 M","50,85 M",105.92
" Retribusi Daerah","7,56 M","82,82 M","1,096.08"
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","1,47 M","0,98 M",66.67
" Lain-Lain PAD yang Sah","130,39 M","13,23 M",10.15
" TKDD","622,15 M","580,65 M",93.33
" Pendapatan Transfer Pemerintah Pusat","622,15 M","580,65 M",93.33
" Pendapatan Lainnya","101,56 M","89,28 M",87.91
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","9,09 M","0,01 M",0.10
" Pendapatan Transfer Antar Daerah","92,46 M","89,27 M",96.55
" Belanja Daerah","1.027,24 M","848,54 M",82.60
" Belanja Pegawai","346,03 M","334,21 M",96.58
" Belanja Pegawai","346,03 M","334,21 M",96.58
" Belanja Barang dan Jasa","462,34 M","363,72 M",78.67
" Belanja Barang dan Jasa","462,34 M","363,72 M",78.67
" Belanja Modal","149,32 M","89,89 M",60.20
" Belanja Modal","149,32 M","89,89 M",60.20
" Belanja Lainnya","69,55 M","60,73 M",87.32
" Belanja Hibah","46,54 M","40,21 M",86.39
" Belanja Bantuan Sosial","19,01 M","18,65 M",98.10
" Belanja Tidak Terduga","4,00 M","1,87 M",46.80
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","116,11 M","-88,99 M",-76.65
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","101,11 M","-73,99 M",-73.18
" Pencairan Dana Cadangan","15,00 M","-15,00 M",-100.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,00 M",0
