akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.501,67 M","1.497,42 M",99.72
" PAD","349,90 M","371,81 M",106.26
" Pajak Daerah","142,67 M","148,57 M",104.13
" Retribusi Daerah","18,86 M","22,82 M",121.00
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","2,80 M","2,80 M",100.00
" Lain-Lain PAD yang Sah","185,57 M","197,63 M",106.50
" TKDD","991,08 M","988,22 M",99.71
" Pendapatan Transfer Pemerintah Pusat","991,08 M","988,22 M",99.71
" Pendapatan Lainnya","160,69 M","137,39 M",85.50
" Pendapatan Transfer Antar Daerah","160,69 M","137,39 M",85.50
" Belanja Daerah","1.891,39 M","1.475,35 M",78.00
" Belanja Pegawai","673,76 M","603,57 M",89.58
" Belanja Pegawai","673,76 M","603,57 M",89.58
" Belanja Barang dan Jasa","831,02 M","636,92 M",76.64
" Belanja Barang dan Jasa","831,02 M","636,92 M",76.64
" Belanja Modal","236,93 M","99,78 M",42.12
" Belanja Modal","236,93 M","99,78 M",42.12
" Belanja Lainnya","149,69 M","135,08 M",90.24
" Belanja Bantuan Keuangan","0,65 M","0,58 M",90.56
" Belanja Hibah","128,98 M","121,44 M",94.15
" Belanja Bantuan Sosial","13,18 M","7,49 M",56.82
" Belanja Tidak Terduga","6,88 M","5,57 M",80.90
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","389,72 M","389,72 M",100.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","379,66 M","379,66 M",100.00
" Pencairan Dana Cadangan","10,06 M","10,06 M",100.00
