akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.097,97 M","1.171,51 M",106.70
" PAD","254,14 M","279,23 M",109.87
" Pajak Daerah","102,51 M","121,51 M",118.54
" Retribusi Daerah","18,01 M","139,04 M",771.90
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","16,03 M","13,46 M",83.95
" Lain-Lain PAD yang Sah","117,59 M","5,22 M",4.44
" TKDD","747,54 M","774,64 M",103.62
" Pendapatan Transfer Pemerintah Pusat","747,54 M","774,64 M",103.62
" Pendapatan Lainnya","96,28 M","117,64 M",122.19
" Pendapatan Transfer Antar Daerah","96,28 M","117,64 M",122.19
" Belanja Daerah","1.232,97 M","1.172,15 M",95.07
" Belanja Pegawai","498,36 M","438,17 M",87.92
" Belanja Pegawai","498,36 M","438,17 M",87.92
" Belanja Barang dan Jasa","496,25 M","497,88 M",100.33
" Belanja Barang dan Jasa","496,25 M","497,88 M",100.33
" Belanja Modal","173,44 M","159,17 M",91.77
" Belanja Modal","173,44 M","159,17 M",91.77
" Belanja Lainnya","64,91 M","76,93 M",118.51
" Belanja Subsidi","0,05 M","0,05 M",99.91
" Belanja Hibah","34,96 M","45,72 M",130.80
" Belanja Bantuan Sosial","27,91 M","30,88 M",110.66
" Belanja Tidak Terduga","2,00 M","0,27 M",13.69
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","135,00 M","113,95 M",84.41
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","135,00 M","113,95 M",84.41
