akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.426,07 M","2.182,67 M",89.97
" PAD","1.010,70 M","807,33 M",79.88
" Pajak Daerah","845,50 M","635,56 M",75.17
" Retribusi Daerah","52,99 M","52,23 M",98.57
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","30,22 M","31,41 M",103.95
" Lain-Lain PAD yang Sah","81,99 M","88,13 M",107.49
" TKDD","1.268,65 M","1.179,12 M",92.94
" Pendapatan Transfer Pemerintah Pusat","1.268,65 M","1.179,12 M",92.94
" Pendapatan Lainnya","146,73 M","196,22 M",133.73
" Pendapatan Hibah","0,00 M","0,00 M",0
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,08 M",0
" Pendapatan Transfer Antar Daerah","146,73 M","196,14 M",133.67
" Belanja Daerah","2.620,70 M","2.553,45 M",97.43
" Belanja Pegawai","970,40 M","954,41 M",98.35
" Belanja Pegawai","970,40 M","954,41 M",98.35
" Belanja Barang dan Jasa","1.245,65 M","1.166,21 M",93.62
" Belanja Barang dan Jasa","1.245,65 M","1.166,21 M",93.62
" Belanja Modal","204,89 M","239,44 M",116.87
" Belanja Modal","204,89 M","239,44 M",116.87
" Belanja Lainnya","199,76 M","193,38 M",96.81
" Belanja Hibah","181,03 M","184,01 M",101.64
" Belanja Bantuan Sosial","14,79 M","9,01 M",60.94
" Belanja Tidak Terduga","3,93 M","0,36 M",9.12
" Pembiayaan Daerah","194,63 M","194,63 M",100.00
" Penerimaan Pembiayaan Daerah","199,63 M","199,63 M",100.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","199,63 M","199,63 M",100.00
" Pengeluaran Pembiayaan Daerah","5,00 M","5,00 M",100.00
" Penyertaan Modal Daerah","5,00 M","5,00 M",100.00
