akun,anggaran,realisasi,persentase
" Pendapatan Daerah","959,12 M","936,75 M",97.67
" PAD","267,55 M","231,46 M",86.51
" Pajak Daerah","85,22 M","89,26 M",104.75
" Retribusi Daerah","12,24 M","119,09 M",973.33
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","3,85 M","3,92 M",101.85
" Lain-Lain PAD yang Sah","166,25 M","19,18 M",11.54
" TKDD","602,76 M","610,45 M",101.27
" Pendapatan Transfer Pemerintah Pusat","602,76 M","610,45 M",101.27
" Pendapatan Lainnya","88,81 M","94,85 M",106.80
" Pendapatan Transfer Antar Daerah","88,81 M","94,85 M",106.80
" Belanja Daerah","1.086,75 M","969,67 M",89.23
" Belanja Pegawai","366,83 M","341,30 M",93.04
" Belanja Pegawai","366,83 M","341,30 M",93.04
" Belanja Barang dan Jasa","452,33 M","420,21 M",92.90
" Belanja Barang dan Jasa","452,33 M","420,21 M",92.90
" Belanja Modal","151,59 M","134,32 M",88.61
" Belanja Modal","151,59 M","134,32 M",88.61
" Belanja Lainnya","116,00 M","73,85 M",63.66
" Belanja Bunga","4,02 M","4,09 M",101.60
" Belanja Hibah","63,45 M","58,16 M",91.67
" Belanja Bantuan Sosial","10,84 M","9,21 M",85.01
" Belanja Tidak Terduga","37,69 M","2,38 M",6.33
" Pembiayaan Daerah","127,63 M","78,93 M",61.84
" Penerimaan Pembiayaan Daerah","153,08 M","104,37 M",68.18
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","153,03 M","104,36 M",68.20
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,05 M","0,01 M",18.80
" Pengeluaran Pembiayaan Daerah","25,45 M","25,45 M",100.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","25,45 M","25,45 M",100.00
