akun,anggaran,realisasi,persentase
" Pendapatan Daerah","989,68 M","930,06 M",93.98
" PAD","176,17 M","177,01 M",100.48
" Pajak Daerah","54,87 M","60,63 M",110.51
" Retribusi Daerah","106,89 M","93,81 M",87.76
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","6,70 M","6,30 M",93.93
" Lain-Lain PAD yang Sah","7,71 M","16,27 M",211.09
" TKDD","670,87 M","648,23 M",96.62
" Pendapatan Transfer Pemerintah Pusat","670,87 M","648,23 M",96.62
" Pendapatan Lainnya","142,64 M","104,83 M",73.49
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","12,15 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","130,49 M","104,83 M",80.33
" Belanja Daerah","1.140,72 M","1.139,78 M",99.92
" Belanja Pegawai","431,30 M","408,52 M",94.72
" Belanja Pegawai","431,30 M","408,52 M",94.72
" Belanja Barang dan Jasa","451,66 M","445,25 M",98.58
" Belanja Barang dan Jasa","451,66 M","445,25 M",98.58
" Belanja Modal","150,03 M","188,34 M",125.54
" Belanja Modal","150,03 M","188,34 M",125.54
" Belanja Lainnya","107,73 M","97,67 M",90.67
" Belanja Hibah","80,03 M","85,70 M",107.08
" Belanja Bantuan Sosial","15,66 M","10,56 M",67.44
" Belanja Tidak Terduga","12,03 M","1,41 M",11.75
" Pembiayaan Daerah","151,03 M","-37,06 M",-24.53
" Penerimaan Pembiayaan Daerah","188,09 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","188,09 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","37,06 M","37,06 M",100.00
" Pembentukan Dana Cadangan","37,06 M","37,06 M",100.00
