akun,anggaran,realisasi,persentase
" Pendapatan Daerah","957,57 M","495,30 M",51.72
" PAD","206,78 M","58,64 M",28.36
" Pajak Daerah","60,34 M","30,61 M",50.73
" Retribusi Daerah","16,83 M","11,43 M",67.88
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","1,61 M","1,54 M",95.60
" Lain-Lain PAD yang Sah","128,00 M","15,07 M",11.77
" TKDD","646,25 M","385,69 M",59.68
" Pendapatan Transfer Pemerintah Pusat","646,25 M","385,69 M",59.68
" Pendapatan Lainnya","104,55 M","50,96 M",48.75
" Pendapatan Transfer Antar Daerah","104,55 M","50,96 M",48.75
" Belanja Daerah","1.093,03 M","592,17 M",54.18
" Belanja Pegawai","490,00 M","341,55 M",69.71
" Belanja Pegawai","490,00 M","341,55 M",69.71
" Belanja Barang dan Jasa","421,18 M","179,24 M",42.56
" Belanja Barang dan Jasa","421,18 M","179,24 M",42.56
" Belanja Modal","83,07 M","10,21 M",12.29
" Belanja Modal","83,07 M","10,21 M",12.29
" Belanja Lainnya","98,78 M","61,17 M",61.92
" Belanja Hibah","96,46 M","59,74 M",61.94
" Belanja Bantuan Sosial","0,24 M","0,19 M",80.69
" Belanja Tidak Terduga","2,09 M","1,23 M",59.17
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","135,45 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","135,45 M","0,00 M",0.00
