akun,anggaran,realisasi,persentase
" Pendapatan Daerah","11.302,42 M","9.942,43 M",87.97
" PAD","6.586,66 M","6.026,09 M",91.49
" Pajak Daerah","5.168,98 M","4.780,69 M",92.49
" Retribusi Daerah","413,53 M","303,82 M",73.47
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","190,04 M","195,22 M",102.73
" Lain-Lain PAD yang Sah","814,11 M","746,35 M",91.68
" TKDD","2.727,37 M","2.852,36 M",104.58
" Pendapatan Transfer Pemerintah Pusat","2.727,37 M","2.852,36 M",104.58
" Pendapatan Lainnya","1.988,39 M","1.063,99 M",53.51
" Pendapatan Transfer Antar Daerah","1.988,39 M","1.063,99 M",53.51
" Belanja Daerah","11.500,37 M","9.634,71 M",83.78
" Belanja Pegawai","3.047,54 M","2.850,79 M",93.54
" Belanja Pegawai","3.047,54 M","2.850,79 M",93.54
" Belanja Barang dan Jasa","5.351,82 M","4.488,78 M",83.87
" Belanja Barang dan Jasa","5.351,82 M","4.488,78 M",83.87
" Belanja Modal","2.615,40 M","1.834,81 M",70.15
" Belanja Modal","2.615,40 M","1.834,81 M",70.15
" Belanja Lainnya","485,61 M","460,32 M",94.79
" Belanja Subsidi","30,52 M","23,21 M",76.06
" Belanja Hibah","444,20 M","432,67 M",97.40
" Belanja Bantuan Sosial","5,39 M","3,84 M",71.23
" Belanja Tidak Terduga","5,50 M","0,60 M",10.86
" Pembiayaan Daerah","197,95 M","197,95 M",100.00
" Penerimaan Pembiayaan Daerah","207,88 M","207,88 M",100.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","207,88 M","207,88 M",100.00
" Pengeluaran Pembiayaan Daerah","9,93 M","9,93 M",100.00
" Penyertaan Modal Daerah","9,93 M","9,93 M",100.00
