akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.366,78 M","1.459,25 M",61.66
" PAD","970,52 M","548,40 M",56.51
" Pajak Daerah","806,74 M","450,06 M",55.79
" Retribusi Daerah","56,23 M","31,45 M",55.94
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","30,84 M","6,78 M",21.97
" Lain-Lain PAD yang Sah","76,71 M","60,12 M",78.37
" TKDD","1.268,65 M","774,66 M",61.06
" Pendapatan Transfer Pemerintah Pusat","1.268,65 M","774,66 M",61.06
" Pendapatan Lainnya","127,61 M","136,18 M",106.72
" Pendapatan Hibah","0,00 M","0,00 M",0
" Pendapatan Transfer Antar Daerah","127,61 M","136,18 M",106.72
" Belanja Daerah","2.573,08 M","1.361,96 M",52.93
" Belanja Pegawai","992,25 M","626,49 M",63.14
" Belanja Pegawai","992,25 M","626,49 M",63.14
" Belanja Barang dan Jasa","1.187,16 M","578,60 M",48.74
" Belanja Barang dan Jasa","1.187,16 M","578,60 M",48.74
" Belanja Modal","182,55 M","48,25 M",26.43
" Belanja Modal","182,55 M","48,25 M",26.43
" Belanja Lainnya","211,11 M","108,62 M",51.45
" Belanja Hibah","181,24 M","103,63 M",57.17
" Belanja Bantuan Sosial","20,13 M","4,82 M",23.96
" Belanja Tidak Terduga","9,74 M","0,17 M",1.77
" Pembiayaan Daerah","206,31 M","199,63 M",96.76
" Penerimaan Pembiayaan Daerah","211,31 M","199,63 M",94.47
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","211,31 M","199,63 M",94.47
" Pengeluaran Pembiayaan Daerah","5,00 M","0,00 M",0.00
" Penyertaan Modal Daerah","5,00 M","0,00 M",0.00
