akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.466,79 M","3.039,97 M",87.69
" PAD","529,62 M","508,58 M",96.03
" Pajak Daerah","169,10 M","179,83 M",106.35
" Retribusi Daerah","18,65 M","19,35 M",103.76
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","23,98 M","13,79 M",57.49
" Lain-Lain PAD yang Sah","317,89 M","295,62 M",92.99
" TKDD","2.481,09 M","2.460,79 M",99.18
" Pendapatan Transfer Pemerintah Pusat","2.481,09 M","2.460,79 M",99.18
" Pendapatan Lainnya","456,08 M","70,60 M",15.48
" Pendapatan Hibah","2,00 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","454,08 M","70,60 M",15.55
" Belanja Daerah","3.486,11 M","3.116,80 M",89.41
" Belanja Pegawai","1.231,50 M","1.174,18 M",95.35
" Belanja Pegawai","1.231,50 M","1.174,18 M",95.35
" Belanja Barang dan Jasa","756,53 M","830,54 M",109.78
" Belanja Barang dan Jasa","756,53 M","830,54 M",109.78
" Belanja Modal","409,89 M","387,63 M",94.57
" Belanja Modal","409,89 M","387,63 M",94.57
" Belanja Lainnya","1.088,18 M","724,45 M",66.57
" Belanja Bagi Hasil","19,25 M","28,17 M",146.29
" Belanja Bantuan Keuangan","718,79 M","386,51 M",53.77
" Belanja Bunga","3,66 M","1,67 M",45.66
" Belanja Hibah","328,64 M","298,80 M",90.92
" Belanja Bantuan Sosial","7,84 M","5,15 M",65.71
" Belanja Tidak Terduga","10,00 M","4,15 M",41.54
" Pembiayaan Daerah","19,32 M","-53,09 M",-274.80
" Penerimaan Pembiayaan Daerah","100,00 M","24,19 M",24.19
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","100,00 M","24,19 M",24.19
" Pengeluaran Pembiayaan Daerah","80,68 M","77,27 M",95.77
" Penyertaan Modal Daerah","2,50 M","0,00 M",0.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","78,18 M","77,27 M",98.84
