akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.167,17 M","2.293,08 M",105.81
" PAD","328,29 M","393,43 M",119.84
" Pajak Daerah","105,21 M","116,29 M",110.54
" Retribusi Daerah","211,95 M","263,22 M",124.19
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","7,04 M","6,75 M",95.90
" Lain-Lain PAD yang Sah","4,09 M","7,16 M",175.15
" TKDD","1.709,18 M","1.719,53 M",100.61
" Pendapatan Transfer Pemerintah Pusat","1.709,18 M","1.719,53 M",100.61
" Pendapatan Lainnya","129,70 M","180,11 M",138.87
" Pendapatan Hibah","2,24 M","2,24 M",100.00
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,07 M",0
" Pendapatan Transfer Antar Daerah","127,46 M","177,80 M",139.49
" Belanja Daerah","2.405,22 M","2.136,60 M",88.83
" Belanja Pegawai","870,45 M","809,38 M",92.98
" Belanja Pegawai","870,45 M","809,38 M",92.98
" Belanja Barang dan Jasa","714,61 M","621,23 M",86.93
" Belanja Barang dan Jasa","714,61 M","621,23 M",86.93
" Belanja Modal","208,27 M","179,24 M",86.06
" Belanja Modal","208,27 M","179,24 M",86.06
" Belanja Lainnya","611,89 M","526,75 M",86.09
" Belanja Bagi Hasil","15,42 M","8,49 M",55.09
" Belanja Bantuan Keuangan","344,83 M","351,93 M",102.06
" Belanja Bunga","1,79 M","1,79 M",100.00
" Belanja Hibah","218,16 M","145,82 M",66.84
" Belanja Bantuan Sosial","16,69 M","15,13 M",90.67
" Belanja Tidak Terduga","15,00 M","3,58 M",23.89
" Pembiayaan Daerah","238,05 M","180,61 M",75.87
" Penerimaan Pembiayaan Daerah","302,84 M","245,40 M",81.03
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","267,84 M","208,45 M",77.83
" Pencairan Dana Cadangan","35,00 M","36,85 M",105.28
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,10 M",0
" Pengeluaran Pembiayaan Daerah","64,78 M","64,78 M",100.00
" Penyertaan Modal Daerah","0,50 M","0,50 M",100.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","64,28 M","64,28 M",100.00
