akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.622,60 M","1.842,13 M",70.24
" PAD","685,55 M","493,15 M",71.94
" Pajak Daerah","394,83 M","261,12 M",66.14
" Retribusi Daerah","275,14 M","193,43 M",70.30
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","11,29 M","11,21 M",99.29
" Lain-Lain PAD yang Sah","4,30 M","27,39 M",637.47
" TKDD","1.721,96 M","1.224,75 M",71.13
" Pendapatan Transfer Pemerintah Pusat","1.721,96 M","1.224,75 M",71.13
" Pendapatan Lainnya","215,09 M","124,23 M",57.76
" Pendapatan Transfer Antar Daerah","215,09 M","124,23 M",57.76
" Belanja Daerah","2.887,66 M","1.850,49 M",64.08
" Belanja Pegawai","1.021,35 M","670,64 M",65.66
" Belanja Pegawai","1.021,35 M","670,64 M",65.66
" Belanja Barang dan Jasa","680,67 M","372,40 M",54.71
" Belanja Barang dan Jasa","680,67 M","372,40 M",54.71
" Belanja Modal","439,21 M","271,31 M",61.77
" Belanja Modal","439,21 M","271,31 M",61.77
" Belanja Lainnya","746,43 M","536,14 M",71.83
" Belanja Bagi Hasil","55,66 M","19,99 M",35.91
" Belanja Bantuan Keuangan","500,57 M","392,86 M",78.48
" Belanja Hibah","168,09 M","121,32 M",72.17
" Belanja Bantuan Sosial","5,87 M","1,88 M",32.02
" Belanja Tidak Terduga","16,24 M","0,11 M",0.65
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","265,07 M","248,69 M",93.82
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","210,07 M","248,69 M",118.39
" Pencairan Dana Cadangan","55,00 M","0,00 M",0.00
