akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.767,45 M","2.806,97 M",101.43
" PAD","481,57 M","508,86 M",105.67
" Pajak Daerah","153,31 M","143,18 M",93.40
" Retribusi Daerah","306,95 M","278,97 M",90.88
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","4,64 M","4,64 M",100.00
" Lain-Lain PAD yang Sah","16,67 M","82,07 M",492.25
" TKDD","2.077,03 M","2.111,28 M",101.65
" Pendapatan Transfer Pemerintah Pusat","2.077,03 M","2.111,28 M",101.65
" Pendapatan Lainnya","208,85 M","186,83 M",89.46
" Pendapatan Hibah","0,00 M","0,00 M",0
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
" Pendapatan Transfer Antar Daerah","208,85 M","186,83 M",89.46
" Belanja Daerah","3.119,20 M","2.813,30 M",90.19
" Belanja Pegawai","1.188,54 M","1.081,23 M",90.97
" Belanja Pegawai","1.188,54 M","1.081,23 M",90.97
" Belanja Barang dan Jasa","949,02 M","818,06 M",86.20
" Belanja Barang dan Jasa","949,02 M","818,06 M",86.20
" Belanja Modal","403,77 M","345,01 M",85.45
" Belanja Modal","403,77 M","345,01 M",85.45
" Belanja Lainnya","577,86 M","568,99 M",98.47
" Belanja Bagi Hasil","18,02 M","18,02 M",100.00
" Belanja Bantuan Keuangan","398,62 M","403,65 M",101.26
" Belanja Hibah","133,15 M","131,79 M",98.97
" Belanja Bantuan Sosial","14,01 M","14,01 M",100.00
" Belanja Tidak Terduga","14,06 M","1,53 M",10.92
" Pembiayaan Daerah","351,75 M","351,73 M",99.99
" Penerimaan Pembiayaan Daerah","352,55 M","352,53 M",99.99
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","352,53 M","352,53 M",100.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,02 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","0,80 M","0,80 M",100.00
" Penyertaan Modal Daerah","0,80 M","0,80 M",100.00
