akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.571,75 M","2.491,66 M",96.89
" PAD","331,39 M","307,68 M",92.84
" Pajak Daerah","94,97 M","99,10 M",104.36
" Retribusi Daerah","12,98 M","15,21 M",117.19
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","14,06 M","14,05 M",99.94
" Lain-Lain PAD yang Sah","209,38 M","179,31 M",85.64
" TKDD","2.036,41 M","2.002,22 M",98.32
" Pendapatan Transfer Pemerintah Pusat","2.036,41 M","2.002,22 M",98.32
" Pendapatan Lainnya","203,95 M","181,77 M",89.12
" Pendapatan Hibah","10,50 M","0,90 M",8.57
" Pendapatan Transfer Antar Daerah","193,45 M","180,87 M",93.50
" Belanja Daerah","2.644,33 M","2.532,14 M",95.76
" Belanja Pegawai","1.070,04 M","1.022,34 M",95.54
" Belanja Pegawai","1.070,04 M","1.022,34 M",95.54
" Belanja Barang dan Jasa","643,64 M","596,55 M",92.68
" Belanja Barang dan Jasa","643,64 M","596,55 M",92.68
" Belanja Modal","331,59 M","319,54 M",96.36
" Belanja Modal","331,59 M","319,54 M",96.36
" Belanja Lainnya","599,06 M","593,72 M",99.11
" Belanja Bagi Hasil","10,81 M","10,75 M",99.45
" Belanja Bantuan Keuangan","447,61 M","450,54 M",100.65
" Belanja Hibah","127,54 M","120,68 M",94.63
" Belanja Bantuan Sosial","10,96 M","10,91 M",99.59
" Belanja Tidak Terduga","2,15 M","0,83 M",38.83
" Pembiayaan Daerah","72,58 M","72,58 M",100.00
" Penerimaan Pembiayaan Daerah","72,58 M","72,58 M",100.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","72,58 M","72,58 M",100.00
" Pengeluaran Pembiayaan Daerah","0,00 M","0,00 M",0
" Penyertaan Modal Daerah","0,00 M","0,00 M",0
