akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.768,35 M","1.508,54 M",85.31
" PAD","217,63 M","183,29 M",84.22
" Pajak Daerah","52,34 M","48,73 M",93.11
" Retribusi Daerah","54,04 M","40,54 M",75.01
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","2,90 M","3,10 M",106.94
" Lain-Lain PAD yang Sah","108,36 M","90,92 M",83.91
" TKDD","1.416,66 M","1.211,44 M",85.51
" Pendapatan Transfer Pemerintah Pusat","1.416,66 M","1.211,44 M",85.51
" Pendapatan Lainnya","134,06 M","113,82 M",84.90
" Pendapatan Transfer Antar Daerah","134,06 M","113,82 M",84.90
" Belanja Daerah","1.884,86 M","1.536,33 M",81.51
" Belanja Pegawai","784,48 M","690,72 M",88.05
" Belanja Pegawai","784,48 M","690,72 M",88.05
" Belanja Barang dan Jasa","512,32 M","386,20 M",75.38
" Belanja Barang dan Jasa","512,32 M","386,20 M",75.38
" Belanja Modal","222,15 M","125,02 M",56.28
" Belanja Modal","222,15 M","125,02 M",56.28
" Belanja Lainnya","365,91 M","334,39 M",91.39
" Belanja Bagi Hasil","7,51 M","6,99 M",93.02
" Belanja Bantuan Keuangan","275,11 M","258,45 M",93.94
" Belanja Subsidi","0,00 M","0,00 M",0
" Belanja Hibah","72,69 M","66,44 M",91.40
" Belanja Bantuan Sosial","0,68 M","0,67 M",99.82
" Belanja Tidak Terduga","9,92 M","1,84 M",18.52
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","116,51 M","3,29 M",2.82
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","116,51 M","3,29 M",2.82
