akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.255,66 M","2.061,32 M",91.38
" PAD","312,22 M","306,59 M",98.20
" Pajak Daerah","55,97 M","59,33 M",106.01
" Retribusi Daerah","245,78 M","237,40 M",96.59
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","2,28 M","2,33 M",101.98
" Lain-Lain PAD yang Sah","8,20 M","7,54 M",91.90
" TKDD","1.605,62 M","1.590,37 M",99.05
" Pendapatan Transfer Pemerintah Pusat","1.605,62 M","1.590,37 M",99.05
" Pendapatan Lainnya","337,82 M","164,36 M",48.65
" Pendapatan Transfer Antar Daerah","337,82 M","164,36 M",48.65
" Belanja Daerah","2.297,83 M","2.067,61 M",89.98
" Belanja Pegawai","824,97 M","807,41 M",97.87
" Belanja Pegawai","824,97 M","807,41 M",97.87
" Belanja Barang dan Jasa","759,96 M","623,11 M",81.99
" Belanja Barang dan Jasa","759,96 M","623,11 M",81.99
" Belanja Modal","191,03 M","136,81 M",71.62
" Belanja Modal","191,03 M","136,81 M",71.62
" Belanja Lainnya","521,87 M","500,28 M",95.86
" Belanja Bagi Hasil","6,11 M","4,53 M",74.18
" Belanja Bantuan Keuangan","308,92 M","308,92 M",100.00
" Belanja Hibah","170,95 M","153,55 M",89.82
" Belanja Bantuan Sosial","22,60 M","21,18 M",93.74
" Belanja Tidak Terduga","13,30 M","12,09 M",90.94
" Pembiayaan Daerah","42,18 M","42,18 M",100.01
" Penerimaan Pembiayaan Daerah","63,41 M","63,41 M",100.01
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","63,41 M","63,41 M",100.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,00 M",0
" Pengeluaran Pembiayaan Daerah","21,23 M","21,23 M",100.00
" Pembentukan Dana Cadangan","0,00 M","0,00 M",0
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","21,23 M","21,23 M",100.00
