akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.702,76 M","3.955,47 M",106.82
" PAD","771,99 M","1.101,75 M",142.72
" Pajak Daerah","473,62 M","514,81 M",108.70
" Retribusi Daerah","281,82 M","503,24 M",178.57
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","4,65 M","5,14 M",110.36
" Lain-Lain PAD yang Sah","11,90 M","78,56 M",660.20
" TKDD","2.632,93 M","2.660,20 M",101.04
" Pendapatan Transfer Pemerintah Pusat","2.632,93 M","2.660,20 M",101.04
" Pendapatan Lainnya","297,85 M","193,53 M",64.98
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","76,51 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","221,34 M","193,53 M",87.44
" Belanja Daerah","4.035,65 M","3.565,69 M",88.35
" Belanja Pegawai","1.380,46 M","1.264,78 M",91.62
" Belanja Pegawai","1.380,46 M","1.264,78 M",91.62
" Belanja Barang dan Jasa","1.326,89 M","1.165,81 M",87.86
" Belanja Barang dan Jasa","1.326,89 M","1.165,81 M",87.86
" Belanja Modal","419,90 M","286,10 M",68.14
" Belanja Modal","419,90 M","286,10 M",68.14
" Belanja Lainnya","908,40 M","848,99 M",93.46
" Belanja Bagi Hasil","50,46 M","57,65 M",114.25
" Belanja Bantuan Keuangan","584,85 M","583,78 M",99.82
" Belanja Hibah","236,42 M","192,81 M",81.55
" Belanja Bantuan Sosial","9,67 M","9,41 M",97.36
" Belanja Tidak Terduga","27,00 M","5,34 M",19.78
" Pembiayaan Daerah","332,89 M","199,98 M",60.08
" Penerimaan Pembiayaan Daerah","340,14 M","199,98 M",58.79
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","340,14 M","199,98 M",58.79
" Pengeluaran Pembiayaan Daerah","7,26 M","0,00 M",0.00
" Penyertaan Modal Daerah","7,26 M","0,00 M",0.00
