akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.468,49 M","2.195,19 M",88.93
" PAD","384,41 M","359,53 M",93.53
" Pajak Daerah","122,49 M","132,67 M",108.31
" Retribusi Daerah","249,56 M","218,02 M",87.36
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","1,88 M","1,28 M",68.14
" Lain-Lain PAD yang Sah","10,48 M","7,57 M",72.20
" TKDD","1.894,66 M","1.667,02 M",87.99
" Pendapatan Transfer Pemerintah Pusat","1.894,66 M","1.667,02 M",87.99
" Pendapatan Lainnya","189,42 M","168,64 M",89.03
" Pendapatan Hibah","0,00 M","0,00 M",0
" Pendapatan Transfer Antar Daerah","189,42 M","168,64 M",89.03
" Belanja Daerah","2.522,97 M","2.475,89 M",98.13
" Belanja Pegawai","1.124,40 M","1.218,17 M",108.34
" Belanja Pegawai","1.124,40 M","1.218,17 M",108.34
" Belanja Barang dan Jasa","534,87 M","495,23 M",92.59
" Belanja Barang dan Jasa","534,87 M","495,23 M",92.59
" Belanja Modal","237,87 M","183,81 M",77.27
" Belanja Modal","237,87 M","183,81 M",77.27
" Belanja Lainnya","625,83 M","578,68 M",92.47
" Belanja Bagi Hasil","3,83 M","3,83 M",100.00
" Belanja Bantuan Keuangan","468,12 M","451,96 M",96.55
" Belanja Bunga","7,10 M","6,43 M",90.49
" Belanja Subsidi","0,08 M","0,00 M",0.00
" Belanja Hibah","132,47 M","105,81 M",79.87
" Belanja Bantuan Sosial","8,83 M","8,68 M",98.28
" Belanja Tidak Terduga","5,40 M","1,98 M",36.63
" Pembiayaan Daerah","54,47 M","-25,24 M",-46.33
" Penerimaan Pembiayaan Daerah","93,53 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","78,23 M","0,00 M",0.00
" Pencairan Dana Cadangan","0,00 M","0,00 M",0
" Penerimaan Pinjaman Daerah","15,00 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,30 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","39,06 M","25,24 M",64.62
" Pembentukan Dana Cadangan","0,00 M","0,00 M",0
" Penyertaan Modal Daerah","0,00 M","0,00 M",0
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","39,06 M","25,24 M",64.62
" Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
