akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.358,45 M","1.383,92 M",58.68
" PAD","317,81 M","180,50 M",56.79
" Pajak Daerah","87,60 M","61,11 M",69.76
" Retribusi Daerah","26,09 M","12,59 M",48.26
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","6,62 M","6,91 M",104.39
" Lain-Lain PAD yang Sah","197,50 M","99,89 M",50.58
" TKDD","1.893,26 M","1.110,06 M",58.63
" Pendapatan Transfer Pemerintah Pusat","1.893,26 M","1.110,06 M",58.63
" Pendapatan Lainnya","147,38 M","93,37 M",63.35
" Pendapatan Hibah","0,94 M","0,00 M",0.00
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,04 M",0
" Pendapatan Transfer Antar Daerah","146,44 M","93,33 M",63.73
" Belanja Daerah","2.605,94 M","1.557,28 M",59.76
" Belanja Pegawai","1.025,14 M","681,25 M",66.45
" Belanja Pegawai","1.025,14 M","681,25 M",66.45
" Belanja Barang dan Jasa","638,26 M","319,64 M",50.08
" Belanja Barang dan Jasa","638,26 M","319,64 M",50.08
" Belanja Modal","258,82 M","63,29 M",24.45
" Belanja Modal","258,82 M","63,29 M",24.45
" Belanja Lainnya","683,72 M","493,10 M",72.12
" Belanja Bagi Hasil","11,37 M","9,96 M",87.59
" Belanja Bantuan Keuangan","513,20 M","380,85 M",74.21
" Belanja Subsidi","2,07 M","1,77 M",85.55
" Belanja Hibah","143,01 M","93,72 M",65.54
" Belanja Bantuan Sosial","6,08 M","5,03 M",82.74
" Belanja Tidak Terduga","8,00 M","1,77 M",22.18
" Pembiayaan Daerah","247,49 M","0,17 M",0.07
" Penerimaan Pembiayaan Daerah","252,49 M","0,17 M",0.07
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","252,49 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,17 M",0
" Pengeluaran Pembiayaan Daerah","5,00 M","0,00 M",0.00
" Penyertaan Modal Daerah","5,00 M","0,00 M",0.00
