akun,anggaran,realisasi,persentase
" Pendapatan Daerah","4.908,52 M","3.546,91 M",72.26
" PAD","1.983,13 M","1.579,58 M",79.65
" Pajak Daerah","1.217,20 M","948,03 M",77.89
" Retribusi Daerah","54,53 M","570,11 M","1,045.51"
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","34,18 M","31,46 M",92.03
" Lain-Lain PAD yang Sah","677,22 M","29,99 M",4.43
" TKDD","2.457,76 M","1.724,75 M",70.18
" Pendapatan Transfer Pemerintah Pusat","2.457,76 M","1.724,75 M",70.18
" Pendapatan Lainnya","467,62 M","242,58 M",51.87
" Pendapatan Hibah","1,07 M","0,08 M",7.00
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
" Pendapatan Transfer Antar Daerah","466,55 M","242,50 M",51.98
" Belanja Daerah","5.258,52 M","3.211,88 M",61.08
" Belanja Pegawai","1.815,38 M","1.221,03 M",67.26
" Belanja Pegawai","1.815,38 M","1.221,03 M",67.26
" Belanja Barang dan Jasa","1.660,45 M","1.016,30 M",61.21
" Belanja Barang dan Jasa","1.660,45 M","1.016,30 M",61.21
" Belanja Modal","711,44 M","200,26 M",28.15
" Belanja Modal","711,44 M","200,26 M",28.15
" Belanja Lainnya","1.071,25 M","774,30 M",72.28
" Belanja Bagi Hasil","127,17 M","89,02 M",70.00
" Belanja Bantuan Keuangan","463,65 M","382,85 M",82.57
" Belanja Subsidi","2,52 M","1,72 M",68.44
" Belanja Hibah","356,77 M","234,62 M",65.76
" Belanja Bantuan Sosial","96,13 M","55,08 M",57.30
" Belanja Tidak Terduga","25,00 M","11,00 M",44.02
" Pembiayaan Daerah","350,00 M","512,06 M",146.30
" Penerimaan Pembiayaan Daerah","370,00 M","512,06 M",138.39
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","310,00 M","511,90 M",165.13
" Penerimaan Pinjaman Daerah","60,00 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,16 M",0
" Pengeluaran Pembiayaan Daerah","20,00 M","0,00 M",0.00
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","20,00 M","0,00 M",0.00
