akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.593,80 M","2.712,87 M",104.59
" PAD","272,75 M","304,34 M",111.58
" Pajak Daerah","45,71 M","53,59 M",117.24
" Retribusi Daerah","201,41 M","223,46 M",110.95
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","13,94 M","13,74 M",98.57
" Lain-Lain PAD yang Sah","11,69 M","13,55 M",115.97
" TKDD","2.172,51 M","2.227,56 M",102.53
" Pendapatan Transfer Pemerintah Pusat","2.172,51 M","2.227,56 M",102.53
" Pendapatan Lainnya","148,55 M","180,96 M",121.82
" Pendapatan Hibah","10,48 M","7,63 M",72.81
" Pendapatan Transfer Antar Daerah","138,07 M","173,34 M",125.54
" Belanja Daerah","3.029,99 M","2.960,05 M",97.69
" Belanja Pegawai","1.099,88 M","1.011,63 M",91.98
" Belanja Pegawai","1.099,88 M","1.011,63 M",91.98
" Belanja Barang dan Jasa","719,36 M","697,26 M",96.93
" Belanja Barang dan Jasa","719,36 M","697,26 M",96.93
" Belanja Modal","380,53 M","355,56 M",93.44
" Belanja Modal","380,53 M","355,56 M",93.44
" Belanja Lainnya","830,23 M","895,60 M",107.87
" Belanja Bagi Hasil","6,04 M","6,00 M",99.26
" Belanja Bantuan Keuangan","589,57 M","595,94 M",101.08
" Belanja Subsidi","4,15 M","3,83 M",92.32
" Belanja Hibah","220,68 M","284,10 M",128.74
" Belanja Bantuan Sosial","4,79 M","4,30 M",89.76
" Belanja Tidak Terduga","5,00 M","1,44 M",28.77
" Pembiayaan Daerah","436,19 M","375,92 M",86.18
" Penerimaan Pembiayaan Daerah","473,42 M","410,92 M",86.80
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","410,92 M","410,92 M",100.00
" Pencairan Dana Cadangan","62,40 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,10 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","37,23 M","35,00 M",94.02
" Pembentukan Dana Cadangan","25,00 M","25,00 M",100.00
" Penyertaan Modal Daerah","12,23 M","10,00 M",81.80
