akun,anggaran,realisasi,persentase
" Pendapatan Daerah","11.302,42 M","6.215,22 M",54.99
" PAD","6.586,66 M","4.121,97 M",62.58
" Pajak Daerah","5.168,98 M","3.478,47 M",67.30
" Retribusi Daerah","413,53 M","199,72 M",48.29
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","190,04 M","91,73 M",48.27
" Lain-Lain PAD yang Sah","814,11 M","352,06 M",43.25
" TKDD","2.727,37 M","1.580,91 M",57.96
" Pendapatan Transfer Pemerintah Pusat","2.727,37 M","1.580,91 M",57.96
" Pendapatan Lainnya","1.988,39 M","512,33 M",25.77
" Pendapatan Transfer Antar Daerah","1.988,39 M","512,33 M",25.77
" Belanja Daerah","11.500,37 M","5.864,79 M",51.00
" Belanja Pegawai","3.047,54 M","1.888,78 M",61.98
" Belanja Pegawai","3.047,54 M","1.888,78 M",61.98
" Belanja Barang dan Jasa","5.351,82 M","2.824,99 M",52.79
" Belanja Barang dan Jasa","5.351,82 M","2.824,99 M",52.79
" Belanja Modal","2.615,40 M","935,09 M",35.75
" Belanja Modal","2.615,40 M","935,09 M",35.75
" Belanja Lainnya","485,61 M","215,93 M",44.47
" Belanja Subsidi","30,52 M","2,44 M",7.98
" Belanja Hibah","444,20 M","209,43 M",47.15
" Belanja Bantuan Sosial","5,39 M","3,47 M",64.25
" Belanja Tidak Terduga","5,50 M","0,60 M",10.86
" Pembiayaan Daerah","197,95 M","197,95 M",100.00
" Penerimaan Pembiayaan Daerah","207,88 M","207,88 M",100.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","207,88 M","207,88 M",100.00
" Pengeluaran Pembiayaan Daerah","9,93 M","9,93 M",100.00
" Penyertaan Modal Daerah","9,93 M","9,93 M",100.00
