akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.913,38 M","1.214,64 M",63.48
" PAD","298,43 M","130,46 M",43.71
" Pajak Daerah","56,23 M","25,28 M",44.97
" Retribusi Daerah","24,61 M","12,32 M",50.05
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","5,41 M","6,37 M",117.71
" Lain-Lain PAD yang Sah","212,18 M","86,49 M",40.76
" TKDD","1.483,93 M","993,26 M",66.93
" Pendapatan Transfer Pemerintah Pusat","1.483,93 M","993,26 M",66.93
" Pendapatan Lainnya","131,02 M","90,93 M",69.40
" Pendapatan Hibah","1,86 M","0,00 M",0.00
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,06 M",0
" Pendapatan Transfer Antar Daerah","129,16 M","90,87 M",70.35
" Belanja Daerah","1.977,58 M","1.094,18 M",55.33
" Belanja Pegawai","916,09 M","582,93 M",63.63
" Belanja Pegawai","916,09 M","582,93 M",63.63
" Belanja Barang dan Jasa","512,26 M","180,53 M",35.24
" Belanja Barang dan Jasa","512,26 M","180,53 M",35.24
" Belanja Modal","154,57 M","48,63 M",31.46
" Belanja Modal","154,57 M","48,63 M",31.46
" Belanja Lainnya","394,66 M","282,09 M",71.48
" Belanja Bagi Hasil","8,08 M","2,74 M",33.96
" Belanja Bantuan Keuangan","269,64 M","216,14 M",80.16
" Belanja Bunga","8,72 M","5,00 M",57.36
" Belanja Hibah","98,08 M","57,11 M",58.23
" Belanja Bantuan Sosial","2,45 M","1,09 M",44.42
" Belanja Tidak Terduga","7,68 M","0,00 M",0.00
" Pembiayaan Daerah","64,20 M","70,42 M",109.68
" Penerimaan Pembiayaan Daerah","121,20 M","92,06 M",75.95
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","92,00 M","92,00 M",100.00
" Pencairan Dana Cadangan","29,00 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,20 M","0,06 M",27.95
" Pengeluaran Pembiayaan Daerah","57,00 M","21,64 M",37.96
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","57,00 M","21,64 M",37.96
