akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.214,08 M","3.483,10 M",108.37
" PAD","652,95 M","789,26 M",120.88
" Pajak Daerah","332,13 M","365,87 M",110.16
" Retribusi Daerah","21,12 M","333,04 M","1,576.55"
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","19,28 M","19,31 M",100.14
" Lain-Lain PAD yang Sah","280,42 M","71,04 M",25.34
" TKDD","2.389,40 M","2.475,12 M",103.59
" Pendapatan Transfer Pemerintah Pusat","2.389,40 M","2.475,12 M",103.59
" Pendapatan Lainnya","171,73 M","218,71 M",127.36
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,06 M",0
" Pendapatan Transfer Antar Daerah","171,73 M","218,65 M",127.32
" Belanja Daerah","3.474,33 M","3.562,44 M",102.54
" Belanja Pegawai","1.229,36 M","1.082,07 M",88.02
" Belanja Pegawai","1.229,36 M","1.082,07 M",88.02
" Belanja Barang dan Jasa","779,04 M","749,92 M",96.26
" Belanja Barang dan Jasa","779,04 M","749,92 M",96.26
" Belanja Modal","798,83 M","1.059,92 M",132.68
" Belanja Modal","798,83 M","1.059,92 M",132.68
" Belanja Lainnya","667,10 M","670,53 M",100.51
" Belanja Bagi Hasil","36,71 M","37,99 M",103.50
" Belanja Bantuan Keuangan","458,13 M","465,96 M",101.71
" Belanja Hibah","138,94 M","158,94 M",114.39
" Belanja Bantuan Sosial","9,15 M","6,21 M",67.88
" Belanja Tidak Terduga","24,17 M","1,43 M",5.93
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","260,25 M","381,57 M",146.62
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","190,19 M","381,57 M",200.62
" Pencairan Dana Cadangan","70,00 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,06 M","0,00 M",0.00
