akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.813,63 M","1.442,41 M",51.27
" PAD","592,24 M","272,21 M",45.96
" Pajak Daerah","131,40 M","66,66 M",50.73
" Retribusi Daerah","18,03 M","189,90 M","1,053.31"
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","6,95 M","6,17 M",88.72
" Lain-Lain PAD yang Sah","435,86 M","9,48 M",2.18
" TKDD","2.020,97 M","1.094,14 M",54.14
" Pendapatan Transfer Pemerintah Pusat","2.020,97 M","1.094,14 M",54.14
" Pendapatan Lainnya","200,42 M","76,06 M",37.95
" Pendapatan Transfer Antar Daerah","200,42 M","76,06 M",37.95
" Belanja Daerah","3.028,23 M","1.654,95 M",54.65
" Belanja Pegawai","1.366,85 M","791,00 M",57.87
" Belanja Pegawai","1.366,85 M","791,00 M",57.87
" Belanja Barang dan Jasa","814,30 M","402,25 M",49.40
" Belanja Barang dan Jasa","814,30 M","402,25 M",49.40
" Belanja Modal","259,90 M","40,29 M",15.50
" Belanja Modal","259,90 M","40,29 M",15.50
" Belanja Lainnya","587,18 M","421,41 M",71.77
" Belanja Bagi Hasil","13,66 M","0,00 M",0.00
" Belanja Bantuan Keuangan","391,84 M","335,95 M",85.74
" Belanja Hibah","150,21 M","82,18 M",54.71
" Belanja Bantuan Sosial","16,46 M","2,86 M",17.40
" Belanja Tidak Terduga","15,00 M","0,41 M",2.74
" Pembiayaan Daerah","214,60 M","-0,40 M",-0.19
" Penerimaan Pembiayaan Daerah","230,00 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","180,00 M","0,00 M",0.00
" Pencairan Dana Cadangan","50,00 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","15,40 M","0,40 M",2.60
" Pembentukan Dana Cadangan","15,00 M","0,00 M",0.00
" Penyertaan Modal Daerah","0,40 M","0,40 M",100.00
