akun,anggaran,realisasi,persentase
" Pendapatan Daerah","4.148,11 M","5.767,29 M",139.03
" PAD","784,99 M","804,01 M",102.42
" Pajak Daerah","129,66 M","159,94 M",123.35
" Retribusi Daerah","46,97 M","33,32 M",70.92
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","120,97 M","137,64 M",113.78
" Lain-Lain PAD yang Sah","487,38 M","473,12 M",97.07
" TKDD","3.189,18 M","4.700,35 M",147.38
" Pendapatan Transfer Pemerintah Pusat","3.189,18 M","4.700,35 M",147.38
" Pendapatan Lainnya","173,94 M","262,93 M",151.16
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","74,71 M","66,85 M",89.49
" Pendapatan Transfer Antar Daerah","99,23 M","196,08 M",197.59
" Belanja Daerah","5.947,60 M","5.378,04 M",90.42
" Belanja Pegawai","1.237,64 M","1.036,83 M",83.77
" Belanja Pegawai","1.237,64 M","1.036,83 M",83.77
" Belanja Barang Jasa","1.220,15 M","1.148,72 M",94.15
" Belanja Barang dan Jasa","1.220,15 M","1.148,72 M",94.15
" Belanja Modal","1.450,24 M","1.261,89 M",87.01
" Belanja Modal","1.450,24 M","1.261,89 M",87.01
" Belanja Lainnya","2.039,57 M","1.930,60 M",94.66
" Belanja Bagi Hasil","22,08 M","21,20 M",96.01
" Belanja Bantuan Keuangan","1.096,26 M","1.327,45 M",121.09
" Belanja Subsidi","1,50 M","0,12 M",8.02
" Belanja Hibah","396,39 M","397,83 M",100.36
" Belanja Bantuan Sosial","173,59 M","149,92 M",86.37
" Belanja Tidak Terduga","349,75 M","34,07 M",9.74
" Pembiayaan Daerah","1.799,50 M","2.828,55 M",157.19
" Penerimaan Pembiayaan Daerah","1.822,25 M","2.828,55 M",155.22
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","1.822,25 M","2.827,70 M",155.18
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,85 M",0
" Pengeluaran Pembiayaan Daerah","22,75 M","0,00 M",0.00
" Penyertaan Modal Daerah","22,75 M","0,00 M",0.00
