akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.926,49 M","1.908,48 M",99.06
" PAD","212,11 M","189,50 M",89.34
" Pajak Daerah","42,10 M","41,40 M",98.33
" Retribusi Daerah","25,22 M","16,88 M",66.94
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","4,26 M","4,54 M",106.67
" Lain-Lain PAD yang Sah","140,53 M","126,68 M",90.15
" TKDD","1.574,69 M","1.537,30 M",97.63
" Pendapatan Transfer Pemerintah Pusat","1.574,69 M","1.537,30 M",97.63
" Pendapatan Lainnya","139,69 M","181,67 M",130.05
" Pendapatan Hibah","0,00 M","11,60 M",0
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","41,47 M","28,59 M",68.94
" Pendapatan Transfer Antar Daerah","98,22 M","141,48 M",144.04
" Belanja Daerah","1.972,49 M","1.900,91 M",96.37
" Belanja Pegawai","944,57 M","787,98 M",83.42
" Belanja Pegawai","944,57 M","787,98 M",83.42
" Belanja Barang Jasa","434,56 M","475,35 M",109.39
" Belanja Barang dan Jasa","434,56 M","475,35 M",109.39
" Belanja Modal","160,36 M","190,40 M",118.73
" Belanja Modal","160,36 M","190,40 M",118.73
" Belanja Lainnya","433,00 M","447,18 M",103.27
" Belanja Bagi Hasil","4,21 M","4,53 M",107.53
" Belanja Bantuan Keuangan","327,34 M","327,04 M",99.91
" Belanja Subsidi","1,18 M","2,18 M",184.52
" Belanja Hibah","77,24 M","93,27 M",120.75
" Belanja Bantuan Sosial","16,35 M","19,01 M",116.29
" Belanja Tidak Terduga","6,68 M","1,15 M",17.20
" Pembiayaan Daerah","46,00 M","212,73 M",462.45
" Penerimaan Pembiayaan Daerah","46,00 M","227,73 M",495.06
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","46,00 M","227,60 M",494.77
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,13 M",0
" Pengeluaran Pembiayaan Daerah","0,00 M","15,00 M",0
" Pembentukan Dana Cadangan","0,00 M","15,00 M",0
