akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.439,39 M","3.366,65 M",97.89
" PAD","1.215,57 M","1.191,80 M",98.04
" Pajak Daerah","782,25 M","783,84 M",100.20
" Retribusi Daerah","174,84 M","90,87 M",51.97
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","13,66 M","13,13 M",96.14
" Lain-Lain PAD yang Sah","244,82 M","303,95 M",124.15
" TKDD","1.869,69 M","1.874,81 M",100.27
" Pendapatan Transfer Pemerintah Pusat","1.869,69 M","1.874,81 M",100.27
" Pendapatan Lainnya","354,13 M","300,05 M",84.73
" Pendapatan Hibah","0,00 M","3,99 M",0
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","17,03 M","16,53 M",97.07
" Pendapatan Transfer Antar Daerah","337,10 M","279,53 M",82.92
" Belanja Daerah","3.682,75 M","3.554,08 M",96.51
" Belanja Pegawai","1.077,05 M","978,45 M",90.85
" Belanja Pegawai","1.077,05 M","978,45 M",90.85
" Belanja Barang Jasa","1.010,71 M","1.077,67 M",106.63
" Belanja Barang dan Jasa","1.010,71 M","1.077,67 M",106.63
" Belanja Modal","423,76 M","310,16 M",73.19
" Belanja Modal","423,76 M","310,16 M",73.19
" Belanja Lainnya","1.171,24 M","1.187,80 M",101.41
" Belanja Bagi Hasil","95,71 M","67,00 M",70.00
" Belanja Bantuan Keuangan","714,13 M","838,05 M",117.35
" Belanja Hibah","289,14 M","255,07 M",88.22
" Belanja Bantuan Sosial","23,29 M","24,86 M",106.74
" Belanja Tidak Terduga","48,97 M","2,82 M",5.77
" Pembiayaan Daerah","243,36 M","246,43 M",101.26
" Penerimaan Pembiayaan Daerah","245,11 M","246,43 M",100.54
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","178,50 M","246,41 M",138.04
" Penerimaan Pinjaman Daerah","66,61 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,02 M",0
" Pengeluaran Pembiayaan Daerah","1,75 M","0,00 M",0.00
" Penyertaan Modal Daerah","0,00 M","0,00 M",0
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","1,75 M","0,00 M",0.00
