akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.575,24 M","2.687,95 M",104.38
" PAD","509,82 M","522,53 M",102.49
" Pajak Daerah","124,99 M","172,20 M",137.77
" Retribusi Daerah","19,06 M","20,63 M",108.21
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","5,86 M","4,92 M",83.93
" Lain-Lain PAD yang Sah","359,92 M","324,78 M",90.24
" TKDD","1.937,86 M","1.922,04 M",99.18
" Pendapatan Transfer Pemerintah Pusat","1.937,86 M","1.922,04 M",99.18
" Pendapatan Lainnya","127,56 M","243,38 M",190.80
" Pendapatan Hibah","5,86 M","15,70 M",267.81
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,03 M",0
" Pendapatan Transfer Antar Daerah","121,70 M","227,65 M",187.07
" Belanja Daerah","2.722,75 M","2.878,94 M",105.74
" Belanja Pegawai","1.095,10 M","978,22 M",89.33
" Belanja Pegawai","1.095,10 M","978,22 M",89.33
" Belanja Barang Jasa","774,72 M","816,05 M",105.34
" Belanja Barang dan Jasa","774,72 M","816,05 M",105.34
" Belanja Modal","219,12 M","358,48 M",163.60
" Belanja Modal","219,12 M","358,48 M",163.60
" Belanja Lainnya","633,81 M","726,18 M",114.57
" Belanja Bagi Hasil","15,83 M","15,32 M",96.76
" Belanja Bantuan Keuangan","495,61 M","508,57 M",102.62
" Belanja Hibah","91,96 M","162,73 M",176.95
" Belanja Bantuan Sosial","10,27 M","33,13 M",322.43
" Belanja Tidak Terduga","20,13 M","6,43 M",31.96
" Pembiayaan Daerah","147,51 M","560,08 M",379.69
" Penerimaan Pembiayaan Daerah","190,51 M","591,97 M",310.73
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","170,51 M","591,90 M",347.14
" Penerimaan Pinjaman Daerah","20,00 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,06 M",0
" Pengeluaran Pembiayaan Daerah","43,00 M","31,89 M",74.16
" Pembentukan Dana Cadangan","20,00 M","20,00 M",100.00
" Penyertaan Modal Daerah","3,00 M","11,89 M",396.30
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","20,00 M","0,00 M",0.00
