akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.236,95 M","1.453,56 M",117.51
" PAD","297,04 M","319,30 M",107.49
" Pajak Daerah","116,09 M","137,51 M",118.46
" Retribusi Daerah","32,02 M","25,33 M",79.10
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","1,44 M","1,98 M",137.55
" Lain-Lain PAD yang Sah","147,49 M","154,48 M",104.74
" TKDD","840,74 M","1.013,59 M",120.56
" Pendapatan Transfer Pemerintah Pusat","840,74 M","1.013,59 M",120.56
" Pendapatan Lainnya","99,17 M","120,67 M",121.68
" Pendapatan Hibah","0,00 M","0,24 M",0
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,06 M",0
" Pendapatan Transfer Antar Daerah","99,17 M","120,37 M",121.37
" Belanja Daerah","1.525,93 M","1.482,75 M",97.17
" Belanja Pegawai","671,52 M","552,28 M",82.24
" Belanja Pegawai","671,52 M","552,28 M",82.24
" Belanja Barang Jasa","627,71 M","649,57 M",103.48
" Belanja Barang dan Jasa","627,71 M","649,57 M",103.48
" Belanja Modal","141,34 M","169,13 M",119.66
" Belanja Modal","141,34 M","169,13 M",119.66
" Belanja Lainnya","85,36 M","111,78 M",130.94
" Belanja Bantuan Keuangan","0,57 M","0,49 M",86.50
" Belanja Hibah","44,88 M","88,11 M",196.32
" Belanja Bantuan Sosial","21,91 M","15,16 M",69.16
" Belanja Tidak Terduga","18,00 M","8,02 M",44.55
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","288,98 M","507,29 M",175.55
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","288,98 M","507,29 M",175.55
