akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.977,27 M","2.933,71 M",98.54
" PAD","475,74 M","507,58 M",106.69
" Pajak Daerah","145,82 M","154,08 M",105.67
" Retribusi Daerah","16,93 M","23,61 M",139.45
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","22,77 M","17,20 M",75.54
" Lain-Lain PAD yang Sah","290,23 M","312,69 M",107.74
" TKDD","2.187,58 M","2.158,63 M",98.68
" Pendapatan Transfer Pemerintah Pusat","2.187,58 M","2.158,63 M",98.68
" Pendapatan Lainnya","313,95 M","267,51 M",85.21
" Pendapatan Hibah","11,47 M","46,73 M",407.49
" Dana Darurat","0,00 M","0,00 M",0
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,10 M",0
" Pendapatan Transfer Antar Daerah","302,48 M","220,68 M",72.96
" Belanja Daerah","3.118,18 M","3.188,16 M",102.24
" Belanja Pegawai","947,93 M","942,84 M",99.46
" Belanja Pegawai","947,93 M","942,84 M",99.46
" Belanja Barang Jasa","773,57 M","813,03 M",105.10
" Belanja Barang dan Jasa","773,57 M","813,03 M",105.10
" Belanja Modal","466,26 M","492,50 M",105.63
" Belanja Modal","466,26 M","492,50 M",105.63
" Belanja Lainnya","930,42 M","939,79 M",101.01
" Belanja Bagi Hasil","16,31 M","16,71 M",102.46
" Belanja Bantuan Keuangan","645,18 M","667,53 M",103.46
" Belanja Bunga","13,34 M","1,80 M",13.48
" Belanja Hibah","210,42 M","236,90 M",112.59
" Belanja Bantuan Sosial","13,67 M","13,94 M",101.99
" Belanja Tidak Terduga","31,50 M","2,91 M",9.24
" Pembiayaan Daerah","140,91 M","327,95 M",232.74
" Penerimaan Pembiayaan Daerah","205,00 M","354,15 M",172.76
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","5,00 M","155,09 M","3,101.75"
" Penerimaan Pinjaman Daerah","200,00 M","198,94 M",99.47
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,13 M",0
" Pengeluaran Pembiayaan Daerah","64,09 M","26,20 M",40.88
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","64,09 M","26,20 M",40.88
