akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.887,05 M","2.007,06 M",106.36
" PAD","284,45 M","377,43 M",132.68
" Pajak Daerah","76,47 M","93,54 M",122.31
" Retribusi Daerah","9,64 M","8,89 M",92.28
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","7,91 M","7,99 M",100.93
" Lain-Lain PAD yang Sah","190,43 M","267,01 M",140.21
" TKDD","1.477,98 M","1.458,36 M",98.67
" Pendapatan Transfer Pemerintah Pusat","1.477,98 M","1.458,36 M",98.67
" Pendapatan Lainnya","124,61 M","171,27 M",137.44
" Pendapatan Hibah","11,19 M","14,62 M",130.67
" Pendapatan Transfer Antar Daerah","113,42 M","156,65 M",138.11
" Belanja Daerah","1.965,32 M","2.059,52 M",104.79
" Belanja Pegawai","750,18 M","688,09 M",91.72
" Belanja Pegawai","750,18 M","688,09 M",91.72
" Belanja Barang Jasa","499,02 M","531,91 M",106.59
" Belanja Barang dan Jasa","499,02 M","531,91 M",106.59
" Belanja Modal","235,65 M","318,86 M",135.31
" Belanja Modal","235,65 M","318,86 M",135.31
" Belanja Lainnya","480,47 M","520,66 M",108.37
" Belanja Bagi Hasil","9,21 M","10,45 M",113.42
" Belanja Bantuan Keuangan","378,94 M","419,86 M",110.80
" Belanja Subsidi","3,58 M","0,35 M",9.66
" Belanja Hibah","51,05 M","70,03 M",137.18
" Belanja Bantuan Sosial","3,99 M","12,95 M",324.72
" Belanja Tidak Terduga","33,70 M","7,03 M",20.87
" Pembiayaan Daerah","78,27 M","271,81 M",347.28
" Penerimaan Pembiayaan Daerah","98,77 M","298,31 M",302.03
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","98,77 M","298,27 M",301.99
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,04 M",0
" Pengeluaran Pembiayaan Daerah","20,50 M","26,50 M",129.27
" Pembentukan Dana Cadangan","10,00 M","15,00 M",150.00
" Penyertaan Modal Daerah","10,50 M","11,50 M",109.52
