akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.174,44 M","2.501,20 M",115.03
" PAD","340,90 M","445,59 M",130.71
" Pajak Daerah","105,64 M","135,07 M",127.86
" Retribusi Daerah","25,78 M","26,65 M",103.38
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","3,74 M","4,10 M",109.56
" Lain-Lain PAD yang Sah","205,74 M","279,77 M",135.98
" TKDD","1.557,39 M","1.723,87 M",110.69
" Pendapatan Transfer Pemerintah Pusat","1.557,39 M","1.723,87 M",110.69
" Pendapatan Lainnya","276,15 M","331,73 M",120.13
" Pendapatan Hibah","6,00 M","6,00 M",100.00
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","162,99 M","143,51 M",88.05
" Pendapatan Transfer Antar Daerah","107,16 M","182,23 M",170.05
" Belanja Daerah","2.430,99 M","2.665,21 M",109.63
" Belanja Pegawai","1.170,19 M","977,68 M",83.55
" Belanja Pegawai","1.170,19 M","977,68 M",83.55
" Belanja Barang Jasa","569,94 M","722,39 M",126.75
" Belanja Barang dan Jasa","569,94 M","722,39 M",126.75
" Belanja Modal","204,90 M","445,25 M",217.30
" Belanja Modal","204,90 M","445,25 M",217.30
" Belanja Lainnya","485,96 M","519,89 M",106.98
" Belanja Bagi Hasil","13,22 M","18,02 M",136.37
" Belanja Bantuan Keuangan","394,56 M","409,70 M",103.84
" Belanja Hibah","22,87 M","73,34 M",320.73
" Belanja Bantuan Sosial","15,15 M","12,58 M",83.02
" Belanja Tidak Terduga","40,17 M","6,24 M",15.52
" Pembiayaan Daerah","256,55 M","536,09 M",208.96
" Penerimaan Pembiayaan Daerah","272,00 M","551,54 M",202.77
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","272,00 M","551,19 M",202.64
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,35 M",0
" Pengeluaran Pembiayaan Daerah","15,45 M","15,45 M",100.00
" Penyertaan Modal Daerah","15,45 M","15,45 M",100.00
