akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.908,21 M","1.914,28 M",100.32
" PAD","235,40 M","231,93 M",98.53
" Pajak Daerah","48,86 M","46,53 M",95.23
" Retribusi Daerah","15,87 M","12,30 M",77.48
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","1,85 M","2,23 M",120.50
" Lain-Lain PAD yang Sah","168,83 M","170,89 M",101.22
" TKDD","1.532,19 M","1.538,73 M",100.43
" Pendapatan Transfer Pemerintah Pusat","1.532,19 M","1.538,73 M",100.43
" Pendapatan Lainnya","140,61 M","143,62 M",102.13
" Pendapatan Transfer Antar Daerah","140,61 M","143,62 M",102.13
" Belanja Daerah","2.305,57 M","2.036,90 M",88.35
" Belanja Pegawai","876,22 M","721,74 M",82.37
" Belanja Pegawai","876,22 M","721,74 M",82.37
" Belanja Barang Jasa","537,10 M","590,15 M",109.88
" Belanja Barang dan Jasa","537,10 M","590,15 M",109.88
" Belanja Modal","351,69 M","258,59 M",73.53
" Belanja Modal","351,69 M","258,59 M",73.53
" Belanja Lainnya","540,55 M","466,42 M",86.29
" Belanja Bagi Hasil","4,56 M","3,15 M",69.19
" Belanja Bantuan Keuangan","306,00 M","300,98 M",98.36
" Belanja Hibah","181,21 M","112,21 M",61.92
" Belanja Bantuan Sosial","32,78 M","30,37 M",92.65
" Belanja Tidak Terduga","16,00 M","19,71 M",123.16
" Pembiayaan Daerah","397,36 M","192,56 M",48.46
" Penerimaan Pembiayaan Daerah","473,59 M","214,11 M",45.21
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","473,59 M","214,11 M",45.21
" Pengeluaran Pembiayaan Daerah","76,23 M","21,54 M",28.26
" Pembentukan Dana Cadangan","20,00 M","0,31 M",1.57
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","21,23 M","21,23 M",100.00
" Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","35,00 M","0,00 M",0.00
