akun,anggaran,realisasi,persentase
" Pendapatan Daerah","4.500,31 M","4.504,85 M",100.10
" PAD","1.816,97 M","1.801,98 M",99.18
" Pajak Daerah","1.034,00 M","1.215,30 M",117.53
" Retribusi Daerah","95,76 M","60,67 M",63.35
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","32,93 M","32,41 M",98.43
" Lain-Lain PAD yang Sah","654,28 M","493,60 M",75.44
" TKDD","2.267,78 M","2.234,10 M",98.51
" Pendapatan Transfer Pemerintah Pusat","2.267,78 M","2.234,10 M",98.51
" Pendapatan Lainnya","415,56 M","468,76 M",112.80
" Pendapatan Hibah","0,00 M","2,76 M",0
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,20 M",0
" Pendapatan Transfer Antar Daerah","415,56 M","465,80 M",112.09
" Belanja Daerah","5.446,31 M","4.849,91 M",89.05
" Belanja Pegawai","1.612,30 M","1.490,29 M",92.43
" Belanja Pegawai","1.612,30 M","1.490,29 M",92.43
" Belanja Barang Jasa","1.670,63 M","1.437,47 M",86.04
" Belanja Barang dan Jasa","1.670,63 M","1.437,47 M",86.04
" Belanja Modal","1.072,75 M","845,93 M",78.86
" Belanja Modal","1.072,75 M","845,93 M",78.86
" Belanja Lainnya","1.090,64 M","1.076,23 M",98.68
" Belanja Bagi Hasil","112,98 M","112,97 M",100.00
" Belanja Bantuan Keuangan","540,46 M","566,94 M",104.90
" Belanja Subsidi","2,52 M","2,43 M",96.39
" Belanja Hibah","291,31 M","281,65 M",96.68
" Belanja Bantuan Sosial","93,37 M","99,64 M",106.72
" Belanja Tidak Terduga","50,00 M","12,60 M",25.19
" Pembiayaan Daerah","946,00 M","839,94 M",88.79
" Penerimaan Pembiayaan Daerah","950,00 M","842,26 M",88.66
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","950,00 M","841,00 M",88.53
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","1,26 M",0
" Pengeluaran Pembiayaan Daerah","4,00 M","2,32 M",57.98
" Penyertaan Modal Daerah","4,00 M","2,32 M",57.98
" Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
