akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.508,71 M","2.642,48 M",105.33
" PAD","498,73 M","577,54 M",115.80
" Pajak Daerah","106,05 M","133,58 M",125.96
" Retribusi Daerah","19,77 M","18,08 M",91.48
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","6,37 M","6,46 M",101.47
" Lain-Lain PAD yang Sah","366,55 M","419,43 M",114.43
" TKDD","1.897,93 M","1.853,76 M",97.67
" Pendapatan Transfer Pemerintah Pusat","1.897,93 M","1.853,76 M",97.67
" Pendapatan Lainnya","112,05 M","211,17 M",188.45
" Pendapatan Hibah","0,00 M","0,41 M",0
" Pendapatan Transfer Antar Daerah","112,05 M","210,76 M",188.09
" Belanja Daerah","2.666,84 M","2.913,69 M",109.26
" Belanja Pegawai","1.230,15 M","1.105,95 M",89.90
" Belanja Pegawai","1.230,15 M","1.105,95 M",89.90
" Belanja Barang Jasa","618,24 M","899,00 M",145.41
" Belanja Barang dan Jasa","618,24 M","899,00 M",145.41
" Belanja Modal","284,40 M","352,05 M",123.79
" Belanja Modal","284,40 M","352,05 M",123.79
" Belanja Lainnya","534,05 M","556,69 M",104.24
" Belanja Bagi Hasil","12,36 M","10,87 M",87.98
" Belanja Bantuan Keuangan","381,90 M","407,63 M",106.74
" Belanja Hibah","78,09 M","102,83 M",131.68
" Belanja Bantuan Sosial","28,89 M","34,13 M",118.15
" Belanja Tidak Terduga","32,81 M","1,23 M",3.74
" Pembiayaan Daerah","158,13 M","748,81 M",473.55
" Penerimaan Pembiayaan Daerah","175,00 M","782,26 M",447.01
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","175,00 M","782,26 M",447.01
" Pengeluaran Pembiayaan Daerah","16,87 M","33,45 M",198.26
" Pembentukan Dana Cadangan","10,00 M","20,00 M",200.00
" Penyertaan Modal Daerah","6,87 M","13,45 M",195.72
