akun,anggaran,realisasi,persentase
" Pendapatan Daerah","3.303,25 M","2.345,71 M",71.01
" PAD","576,55 M","398,02 M",69.04
" Pajak Daerah","244,49 M","206,81 M",84.59
" Retribusi Daerah","78,71 M","30,54 M",38.80
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","24,95 M","18,91 M",75.79
" Lain-Lain PAD yang Sah","228,40 M","141,76 M",62.07
" TKDD","2.435,68 M","1.709,56 M",70.19
" Pendapatan Transfer Pemerintah Pusat","2.435,68 M","1.709,56 M",70.19
" Pendapatan Lainnya","291,02 M","238,12 M",81.82
" Pendapatan Hibah","8,59 M","0,00 M",0.00
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","51,25 M","32,45 M",63.32
" Pendapatan Transfer Antar Daerah","231,18 M","205,67 M",88.97
" Belanja Daerah","3.748,21 M","2.180,69 M",58.18
" Belanja Pegawai","1.067,01 M","771,15 M",72.27
" Belanja Pegawai","1.067,01 M","771,15 M",72.27
" Belanja Barang dan Jasa","1.119,65 M","655,47 M",58.54
" Belanja Barang dan Jasa","1.119,65 M","655,47 M",58.54
" Belanja Modal","893,49 M","336,78 M",37.69
" Belanja Modal","893,49 M","336,78 M",37.69
" Belanja Lainnya","668,06 M","417,29 M",62.46
" Belanja Bagi Hasil","20,19 M","15,77 M",78.09
" Belanja Bantuan Keuangan","405,35 M","338,92 M",83.61
" Belanja Hibah","207,34 M","52,11 M",25.13
" Belanja Bantuan Sosial","15,18 M","1,14 M",7.48
" Belanja Tidak Terduga","20,00 M","9,35 M",46.76
" Pembiayaan Daerah","444,96 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","452,71 M","287,71 M",63.55
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","287,71 M","287,71 M",100.00
" Penerimaan Pinjaman Daerah","165,00 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","7,74 M","0,00 M",0.00
" Penyertaan Modal Daerah","7,74 M","0,00 M",0.00
