akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.484,83 M","1.769,00 M",71.19
" PAD","382,11 M","264,84 M",69.31
" Pajak Daerah","127,79 M","89,92 M",70.36
" Retribusi Daerah","26,32 M","14,98 M",56.92
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","5,09 M","2,11 M",41.51
" Lain-Lain PAD yang Sah","222,91 M","157,83 M",70.80
" TKDD","1.855,65 M","1.347,72 M",72.63
" Pendapatan Transfer Pemerintah Pusat","1.855,65 M","1.347,72 M",72.63
" Pendapatan Lainnya","247,06 M","156,44 M",63.32
" Pendapatan Transfer Antar Daerah","247,06 M","156,44 M",63.32
" Belanja Daerah","2.782,84 M","1.560,82 M",56.09
" Belanja Pegawai","939,04 M","636,44 M",67.78
" Belanja Pegawai","939,04 M","636,44 M",67.78
" Belanja Barang dan Jasa","853,60 M","423,75 M",49.64
" Belanja Barang dan Jasa","853,60 M","423,75 M",49.64
" Belanja Modal","461,56 M","154,78 M",33.53
" Belanja Modal","461,56 M","154,78 M",33.53
" Belanja Lainnya","528,64 M","345,85 M",65.42
" Belanja Bagi Hasil","18,04 M","6,07 M",33.68
" Belanja Bantuan Keuangan","378,81 M","295,68 M",78.06
" Belanja Hibah","101,30 M","30,49 M",30.10
" Belanja Bantuan Sosial","28,22 M","12,76 M",45.22
" Belanja Tidak Terduga","2,27 M","0,84 M",36.79
" Pembiayaan Daerah","298,01 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","313,01 M","288,01 M",92.01
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","288,01 M","288,01 M",100.00
" Pencairan Dana Cadangan","25,00 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","15,00 M","0,00 M",0.00
" Pembentukan Dana Cadangan","15,00 M","15,00 M",100.00
" Pengeluaran Pembiayaan Lainnya","0,00 M","15,00 M",0
